BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,447.0,483.0,445.0,55210,2.54742213E7,521
2024-08-22,477.0,495.0,475.0,45176,2.19502596E7,527
2024-08-21,490.0,510.0,487.0,58107,2.89052774E7,661
2024-08-18,491.1,525.0,486.4,114616,5.80180971E7,918
2024-08-15,525.9,560.0,519.4,80068,4.33262546E7,969
2024-08-14,509.3,509.3,452.0,113799,5.56908418E7,895
2024-08-13,463.0,488.0,453.0,63346,2.98234002E7,558
2024-08-12,470.0,472.0,430.0,100047,4.56293369E7,975
2024-08-11,430.0,436.0,417.0,71574,3.06856593E7,783
2024-08-08,415.0,427.0,394.0,40977,1.70796448E7,483
2024-08-07,415.0,418.8,395.0,26003,1.06802697E7,444
2024-08-06,396.2,440.0,389.0,86499,3.65831106E7,777
2024-08-05,420.0,430.0,408.7,54867,2.30425976E7,611
2024-08-01,416.9,427.0,407.0,47023,1.95436538E7,485
2024-07-31,420.0,428.0,411.0,62573,2.62263502E7,543
2024-07-30,414.9,417.3,400.1,45165,1.85072846E7,469
2024-07-29,404.8,415.1,400.1,28883,1.17828144E7,360
2024-07-28,409.0,427.0,400.0,22984,9378503.4,221
2024-07-25,411.0,428.4,410.0,32837,1.36222993E7,353
2024-07-24,420.0,444.0,414.0,60977,2.59234521E7,426
2024-07-23,422.0,432.0,412.0,54820,2.31978161E7,503
2024-07-22,420.0,432.0,389.4,72464,2.94872846E7,520
2024-07-21,397.1,406.0,390.0,47678,1.89948065E7,363
2024-07-18,405.0,422.2,400.2,38913,1.58102965E7,357
2024-07-17,414.0,414.0,395.1,56614,2.29945194E7,390
2024-07-16,403.0,407.0,370.2,92210,3.65772748E7,569
2024-07-15,376.8,390.0,373.0,18884,7100329.2,195
2024-07-14,380.0,390.0,370.0,28125,1.06758586E7,218
2024-07-11,376.9,379.9,365.6,22643,8484016.8,217
