BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1084.0,1132.0,1042.2,31490,3.41727278E7,379
2024-08-22,1060.0,1079.0,1056.0,14939,1.59148489E7,203
2024-08-21,1084.0,1122.0,1066.3,15009,1.63347995E7,226
2024-08-18,1122.0,1145.0,1078.0,30410,3.36347507E7,387
2024-08-15,1142.4,1142.4,1070.0,35871,3.91409661E7,380
2024-08-14,1112.0,1112.0,1035.0,40378,4.29189571E7,400
2024-08-13,1068.9,1100.0,1050.8,41635,4.42856096E7,451
2024-08-12,1095.0,1158.2,1090.0,38137,4.22948543E7,528
2024-08-11,1136.0,1136.0,1058.5,55919,6.14653471E7,679
2024-08-08,1040.0,1098.0,1020.0,36488,3.81335599E7,417
2024-08-07,1065.0,1080.0,1040.0,32494,3.43276597E7,351
2024-08-06,1060.0,1180.6,1045.0,66503,7.26878806E7,783
2024-08-05,1157.5,1250.0,1127.7,83454,9.6705522E7,1031
2024-08-01,1253.0,1309.0,1225.0,38567,4.79050839E7,484
2024-07-31,1284.1,1335.0,1235.0,83054,1.042543987E8,644
2024-07-30,1259.0,1297.9,1247.0,38351,4.82158972E7,438
2024-07-29,1273.0,1333.0,1263.0,47520,6.07997648E7,504
2024-07-28,1330.0,1447.0,1296.0,41206,5.43949795E7,500
2024-07-25,1365.0,1385.0,1265.0,62411,8.43453609E7,933
2024-07-24,1287.0,1290.0,1257.4,34724,4.43161826E7,272
2024-07-23,1283.0,1299.9,1275.0,35749,4.57975369E7,275
2024-07-22,1297.0,1300.0,1276.0,26552,3.41057712E7,241
2024-07-21,1289.0,1340.0,1270.0,39554,5.10439359E7,424
2024-07-18,1316.0,1355.0,1302.5,52429,6.9896318E7,471
2024-07-17,1329.0,1360.0,1302.0,22628,2.99166988E7,254
2024-07-16,1335.0,1340.0,1255.0,46836,6.09978767E7,369
2024-07-15,1280.0,1293.0,1255.0,21755,2.76168578E7,173
2024-07-14,1279.1,1359.0,1267.0,22493,2.88018671E7,206
2024-07-11,1257.0,1298.0,1250.0,24121,3.05803029E7,249
2024-07-10,1270.0,1300.0,1260.0,24060,3.07520227E7,276
2024-07-09,1278.0,1294.0,1235.0,29960,3.82618798E7,301
2024-07-08,1258.0,1282.1,1241.0,8270,1.04073425E7,143
2024-07-07,1266.0,1285.0,1256.1,16692,2.11653053E7,170
2024-07-04,1266.0,1319.0,1260.0,15323,1.9519454E7,191
2024-07-03,1293.5,1314.0,1274.0,67279,8.60489867E7,264
2024-07-02,1313.0,1399.9,1288.0,33930,4.50934136E7,292
2024-07-01,1287.0,1299.0,1283.0,16692,2.15472238E7,116
2024-06-30,1298.9,1310.0,1274.0,20833,2.6965692E7,170
2024-06-27,1300.0,1313.0,1287.1,15031,1.94709371E7,130
2024-06-26,1315.0,1318.6,1297.0,31315,4.09007294E7,247
2024-06-25,1321.0,1333.1,1273.0,34536,4.54269004E7,329
2024-06-24,1298.0,1298.0,1220.6,29720,3.80517739E7,248
2024-06-23,1245.5,1315.0,1245.0,38278,4.80736259E7,315
2024-06-20,1270.0,1345.0,1252.0,36807,4.74377434E7,246
2024-06-19,1319.0,1406.0,1274.0,57652,7.48979349E7,322
2024-06-18,1314.0,1333.0,1290.7,56500,7.46779159E7,351
2024-06-16,1340.0,1345.0,1272.0,65965,8.65709097E7,507
2024-06-13,1296.0,1384.0,1284.1,26382,3.4274741E7,308
2024-06-12,1328.0,1388.0,1302.0,43254,5.69763569E7,329
2024-06-11,1335.0,1350.0,1313.2,33421,4.44796187E7,250
2024-06-10,1340.0,1349.4,1286.0,75322,9.92287946E7,472
2024-06-09,1320.0,1338.0,1287.0,55226,7.2267085E7,441
2024-06-06,1360.0,1446.2,1324.0,75971,1.026994188E8,496
2024-06-05,1397.0,1410.0,1341.0,47165,6.48460667E7,407
2024-06-04,1380.0,1380.0,1255.0,71386,9.41969034E7,654
2024-06-03,1279.9,1290.0,1197.0,80956,1.007540625E8,641
2024-06-02,1197.2,1218.0,1194.0,32392,3.9020355E7,196
2024-05-30,1200.0,1224.0,1180.0,52533,6.29788078E7,329
2024-05-29,1200.0,1220.0,1181.1,39043,4.70192437E7,184
2024-05-27,1223.0,1238.9,1184.9,52210,6.32661471E7,417
2024-05-26,1209.0,1223.0,1181.0,64866,7.77666336E7,384
2024-05-22,1222.0,1259.0,1176.0,33427,4.05707647E7,373
2024-05-21,1272.9,1272.9,1136.8,78377,9.26211512E7,509
2024-05-20,1160.0,1160.0,1069.2,88775,9.98236055E7,500
2024-05-19,1150.0,1166.4,1040.0,61087,6.8853182E7,559
2024-05-16,1060.4,1060.4,949.0,71638,7.28253148E7,452
2024-05-15,964.0,978.0,931.5,30394,2.90596211E7,238
2024-05-14,949.0,951.5,857.0,67484,6.1831724E7,451
2024-05-13,865.0,872.1,846.0,11869,1.01737158E7,132
2024-05-12,855.0,870.0,814.2,32215,2.7592606E7,209
2024-05-09,845.0,886.0,825.0,26860,2.26454331E7,205
2024-05-08,875.1,890.0,858.1,28447,2.49092179E7,216
2024-05-07,856.7,856.7,763.5,63490,5.17985431E7,305
2024-05-06,778.9,797.0,775.0,8697,6845336.4,118
2024-05-05,809.9,850.0,772.2,30844,2.5026976E7,301
2024-05-02,786.0,800.0,743.9,26431,2.05396117E7,246
2024-04-30,730.0,739.0,697.0,4821,3472821.2,57
2024-04-29,729.0,750.0,681.1,2605,1882735.3,54
2024-04-28,709.0,727.0,683.3,3054,2134114.1,42
2024-04-25,686.0,714.0,686.0,1929,1343807.0,26
2024-04-24,700.0,713.0,694.1,5099,3582855.4,35
2024-04-22,701.0,730.0,690.1,4575,3248939.0,64
2024-04-21,735.9,736.0,701.0,6252,4422269.5,38
2024-04-18,721.9,735.0,712.2,4725,3416678.3,50
2024-04-16,733.5,750.0,733.1,9215,6774896.1,44
2024-04-15,742.0,774.0,735.0,7311,5539596.6,106
2024-04-14,744.4,754.0,712.1,2045,1522051.2,42
2024-04-10,725.0,735.0,724.1,5191,3781964.6,54
2024-04-09,737.0,751.0,731.0,5358,3948346.9,64
2024-04-07,731.0,776.0,726.0,15764,1.18200361E7,143
2024-04-04,746.2,769.0,729.0,23242,1.74993959E7,197
2024-04-03,728.0,734.0,710.0,12546,9103221.9,133
2024-04-02,702.8,718.0,694.0,9525,6709362.1,105
2024-04-01,685.1,698.9,677.1,7122,4883507.2,56
2024-03-31,689.7,695.0,676.0,3680,2508166.7,43
2024-03-28,688.3,700.0,686.1,5345,3690275.6,48
2024-03-27,690.0,707.0,688.0,11562,8033768.3,76
2024-03-26,694.1,700.0,680.0,18975,1.31813363E7,125
2024-03-25,678.0,695.0,672.5,23812,1.62222655E7,108
2024-03-21,698.0,726.9,677.2,18153,1.26806157E7,137
2024-03-20,726.0,746.9,691.1,26609,1.92094424E7,303
2024-03-19,705.1,711.0,650.0,48698,3.3420674E7,419
2024-03-18,650.0,650.0,624.0,18639,1.18481084E7,136
2024-03-17,632.0,641.0,624.0,8880,5575173.7,81
2024-03-14,633.0,642.0,613.5,15121,9516558.0,153
2024-03-13,637.0,644.9,625.0,11683,7376611.2,130
2024-03-12,639.1,644.0,608.0,13637,8589154.4,199
2024-03-10,604.0,628.0,571.0,8586,5155348.6,103
2024-03-07,579.0,580.0,566.5,2037,1169591.2,30
2024-03-06,570.0,574.3,559.0,1332,755455.8,26
2024-03-05,562.0,572.0,557.0,1050,592496.4,32
2024-03-04,583.0,584.0,562.0,295,170014.0,5
2024-03-03,559.1,563.9,545.1,2482,1375604.6,43
2024-02-29,553.0,557.0,547.0,2060,1133998.1,44
2024-02-28,565.0,580.0,559.0,1359,762238.0,26
2024-02-27,568.9,569.0,560.0,2562,1441578.8,44
2024-02-26,566.0,585.0,555.0,1170,654687.7,28
2024-02-25,568.0,581.4,559.0,2240,1263834.6,48
2024-02-22,570.0,600.0,560.0,13595,7711114.1,137
2024-02-21,590.1,638.0,578.2,3584,2101665.1,58
2024-02-20,589.9,619.0,576.0,1302,760690.1,36
2024-02-18,584.1,595.0,580.0,1706,995791.0,43
2024-02-15,591.0,604.0,591.0,1994,1186030.0,49
2024-02-14,605.0,653.0,585.0,2972,1789823.6,65
2024-02-13,595.0,600.0,594.0,2163,1287166.6,36
2024-02-12,603.2,609.0,597.0,2609,1584506.0,27
2024-02-11,607.0,612.0,596.0,5192,3126627.6,57
2024-02-08,604.0,612.0,595.0,3892,2340047.9,49
2024-02-07,604.0,610.9,599.0,820,494492.7,37
2024-02-06,600.0,640.0,588.0,6030,3603765.7,91
2024-02-05,594.2,604.9,580.0,4415,2593771.2,66
2024-02-04,600.0,600.0,574.0,5668,3326206.3,82
2024-02-01,585.0,620.0,585.0,4787,2861385.6,91
2024-01-31,615.1,630.0,610.0,2788,1716011.0,43
2024-01-30,622.0,659.3,620.0,2584,1633018.5,67
2024-01-29,634.0,656.8,607.6,4266,2688965.7,74
