BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,525.0,543.0,521.9,327710,1.733963031E8,1990
2024-08-22,538.1,550.0,535.0,310477,1.685009693E8,2050
2024-08-21,538.1,554.8,538.1,225020,1.222954744E8,1857
2024-08-18,544.0,574.0,540.1,475602,2.635339062E8,2886
2024-08-15,564.0,584.9,560.0,510284,2.908201622E8,3119
2024-08-14,568.9,581.0,550.1,495817,2.796504979E8,2731
2024-08-13,570.0,607.0,561.0,582556,3.368550305E8,3478
2024-08-12,576.4,576.4,520.0,1021936,5.72543881E8,4531
2024-08-11,524.0,533.0,489.4,750619,3.851799323E8,3873
2024-08-08,485.0,506.0,480.0,415537,2.045868366E8,2246
2024-08-07,490.5,491.0,459.0,410840,1.965602486E8,2374
2024-08-06,464.0,507.0,462.0,540312,2.601007084E8,3104
2024-08-05,500.0,509.0,486.0,514188,2.567120885E8,3010
2024-08-01,486.9,508.0,455.0,665029,3.240850789E8,3861
2024-07-31,462.0,469.0,453.8,380081,1.757748962E8,2162
2024-07-30,450.0,458.0,440.0,317124,1.421891029E8,1867
2024-07-29,448.0,473.2,446.9,387970,1.776466729E8,1948
2024-07-28,464.0,475.3,432.2,331626,1.503898426E8,1695
2024-07-25,448.5,455.9,430.6,552095,2.46498792E8,2079
2024-07-24,434.2,453.0,430.0,334340,1.470379936E8,1869
2024-07-23,436.0,438.9,417.2,352804,1.518935668E8,1773
2024-07-22,421.1,433.0,418.0,226136,9.56159479E7,1306
2024-07-21,428.0,431.4,416.2,271677,1.155391001E8,1560
2024-07-18,422.0,425.1,410.0,351971,1.478501573E8,1679
2024-07-17,415.9,419.9,405.0,199399,8.24183722E7,1309
2024-07-16,410.2,410.2,390.2,150726,6.02090828E7,928
2024-07-15,391.0,404.0,390.1,123906,4.90381841E7,810
2024-07-14,398.4,401.0,393.0,176481,7.00824008E7,958
2024-07-11,393.7,394.9,385.1,106720,4.17970024E7,825
2024-07-10,384.0,387.5,381.5,56541,2.17545673E7,446
2024-07-09,381.0,385.0,378.1,69853,2.66460282E7,421
2024-07-08,380.9,390.0,379.0,84866,3.24933071E7,572
2024-07-07,387.0,391.0,386.0,87510,3.40489632E7,647
2024-07-04,385.3,385.3,377.0,118996,4.54513357E7,645
2024-07-03,379.0,382.0,374.2,30787,1.15937882E7,326
2024-07-02,379.0,400.0,375.5,65377,2.50158203E7,480
2024-07-01,372.6,375.0,369.0,38475,1.43530818E7,342
2024-06-30,369.0,376.0,364.1,65794,2.44521293E7,430
2024-06-27,371.5,378.9,368.0,68059,2.53275344E7,483
2024-06-26,374.9,379.0,373.0,41736,1.56467006E7,426
2024-06-25,377.2,383.0,376.1,30121,1.13780617E7,356
2024-06-24,377.5,382.1,374.6,49528,1.86787012E7,423
2024-06-23,378.0,382.0,376.0,49276,1.85929373E7,443
2024-06-20,378.0,386.9,377.4,47058,1.78563338E7,383
2024-06-19,379.4,386.0,379.0,57167,2.17495088E7,387
2024-06-18,380.3,389.9,378.8,81945,3.11672659E7,566
2024-06-16,382.3,389.8,381.3,67110,2.57291384E7,537
2024-06-13,385.0,396.0,384.0,53614,2.07320664E7,402
2024-06-12,389.0,400.0,388.0,130230,5.12372827E7,623
2024-06-11,390.1,393.7,384.0,52649,2.04590919E7,507
2024-06-10,383.0,390.6,382.0,41744,1.60451224E7,345
2024-06-09,383.0,392.7,382.0,48605,1.86673786E7,424
2024-06-06,385.0,390.0,383.2,44907,1.73016967E7,356
2024-06-05,386.0,390.0,385.0,23687,9153195.2,254
2024-06-04,388.9,393.7,385.3,47371,1.84207034E7,362
2024-06-03,387.4,394.9,387.3,41907,1.63613242E7,295
2024-06-02,387.2,394.9,387.2,46774,1.81949491E7,432
2024-05-30,390.0,396.9,389.0,40653,1.59838609E7,343
2024-05-29,395.0,410.0,395.0,70729,2.82140604E7,436
2024-05-27,402.0,408.5,392.7,64682,2.60646049E7,429
2024-05-26,400.7,413.8,399.0,93530,3.76736684E7,548
2024-05-22,406.0,413.9,402.9,123902,5.05568568E7,561
2024-05-21,413.0,417.0,403.6,155781,6.39296179E7,611
2024-05-20,411.0,420.0,408.0,139147,5.74748847E7,794
2024-05-19,414.4,417.8,399.0,273709,1.12302458E8,1424
2024-05-16,399.0,403.0,391.2,45253,1.77987269E7,299
2024-05-15,395.1,402.0,395.0,104809,4.18852697E7,458
2024-05-14,397.0,398.0,383.0,48953,1.92351278E7,428
2024-05-13,384.8,390.0,380.2,14521,5588534.1,248
2024-05-12,384.0,388.0,379.0,27380,1.05377237E7,338
2024-05-09,380.0,385.0,376.0,43620,1.66117551E7,328
2024-05-08,379.8,385.0,377.5,30671,1.16523589E7,295
2024-05-07,384.0,388.0,380.0,21171,8130118.4,267
2024-05-06,384.0,393.5,380.0,41348,1.58559341E7,372
2024-05-05,386.8,400.0,385.6,50704,1.9779526E7,293
2024-05-02,395.0,404.9,393.0,39261,1.55622681E7,346
