BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,833.0,897.0,830.0,175465,1.505917504E8,1252
2024-08-22,880.0,910.0,835.0,280949,2.484735965E8,1710
2024-08-21,833.0,856.0,820.3,163185,1.36663873E8,1005
2024-08-18,814.1,870.0,775.0,251906,2.053089786E8,1497
2024-08-15,821.0,890.0,794.0,180405,1.5291994E8,1413
2024-08-14,838.0,850.0,781.0,202548,1.671674467E8,1455
2024-08-13,781.0,800.0,758.0,181708,1.428920973E8,1311
2024-08-12,756.0,790.0,725.0,177910,1.337158795E8,1158
2024-08-11,725.0,738.0,711.0,108187,7.79330361E7,680
2024-08-08,710.0,751.0,703.0,87699,6.29340873E7,713
2024-08-07,723.0,739.9,656.0,119754,8.47218141E7,1000
2024-08-06,679.0,734.9,677.0,221383,1.555873907E8,1756
2024-08-05,742.0,775.0,731.0,139363,1.035767899E8,1065
2024-08-01,767.0,798.0,758.6,171819,1.343789063E8,1255
2024-07-31,777.1,798.0,744.0,160147,1.251028485E8,1186
2024-07-30,743.0,755.0,700.0,182228,1.326651298E8,1220
2024-07-29,700.0,717.0,689.1,145638,1.026338318E8,858
2024-07-28,703.0,721.2,690.0,91311,6.37149488E7,636
2024-07-25,707.1,728.0,705.0,108258,7.76229493E7,713
2024-07-24,702.9,725.0,690.9,154596,1.093168337E8,893
2024-07-23,700.0,706.0,685.1,93314,6.51919379E7,610
2024-07-22,683.5,695.0,665.0,94528,6.41957741E7,718
2024-07-21,674.0,699.9,657.0,138523,9.40228877E7,935
2024-07-18,668.0,700.0,667.0,150815,1.033813249E8,980
2024-07-17,681.0,689.9,630.0,135044,8.97145381E7,980
2024-07-16,630.0,636.4,612.0,60256,3.79557018E7,356
2024-07-15,619.0,635.4,615.0,81071,5.06321268E7,508
2024-07-14,623.0,650.0,623.0,53314,3.34497549E7,383
2024-07-11,620.0,637.0,620.0,73077,4.59261246E7,490
