BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,677.0,700.9,672.0,109048,7.45218284E7,645
2024-08-22,696.2,708.0,692.0,140158,9.80928181E7,641
2024-08-21,696.1,705.0,684.0,145967,1.014523348E8,735
2024-08-18,692.0,719.0,689.2,240114,1.682246727E8,1174
2024-08-15,710.0,724.0,703.0,190223,1.356056562E8,1229
2024-08-14,712.0,719.9,700.7,152088,1.078827371E8,867
2024-08-13,718.0,740.0,706.0,175436,1.263499732E8,969
2024-08-12,725.6,760.0,709.8,248652,1.809296702E8,1454
2024-08-11,696.0,697.0,665.0,292834,1.991820465E8,1273
2024-08-08,662.0,678.0,656.0,317057,2.108297425E8,1020
2024-08-07,656.0,656.7,621.1,115583,7.4540894E7,656
2024-08-06,631.0,678.0,630.0,274278,1.776431309E8,1335
2024-08-05,672.0,687.0,664.5,232496,1.566828477E8,1058
2024-08-01,667.5,692.0,650.0,231136,1.562807433E8,1221
2024-07-31,651.0,663.0,638.2,180963,1.182652977E8,825
2024-07-30,637.0,647.7,623.0,179735,1.139127547E8,817
2024-07-29,635.1,671.0,635.0,181469,1.175598816E8,925
2024-07-28,658.5,660.0,622.0,214836,1.376690882E8,1157
2024-07-25,634.5,640.0,609.0,302611,1.900358402E8,1160
2024-07-24,617.0,633.0,600.0,175729,1.083698317E8,896
2024-07-23,619.8,619.8,580.0,187040,1.131857418E8,851
2024-07-22,580.0,590.0,573.0,105485,6.11374899E7,686
2024-07-21,580.0,592.6,571.0,168927,9.88908874E7,668
2024-07-18,575.0,590.0,570.0,219272,1.27016246E8,727
2024-07-17,577.0,580.0,560.1,113901,6.52840624E7,463
2024-07-16,567.0,567.0,550.0,52754,2.95798861E7,286
2024-07-15,558.0,580.3,556.1,64855,3.63282181E7,312
2024-07-14,569.0,589.0,558.0,58530,3.30045994E7,284
2024-07-11,556.9,560.0,545.2,79906,4.42810021E7,397
2024-07-10,549.9,549.9,537.0,70999,3.85738815E7,280
2024-07-09,537.5,544.0,532.0,37012,1.9890586E7,139
2024-07-08,545.0,545.0,533.0,35956,1.93380239E7,144
2024-07-07,544.0,548.0,533.0,69047,3.73967543E7,294
2024-07-04,532.0,536.9,524.0,46939,2.49280815E7,208
2024-07-03,530.0,530.0,522.0,33042,1.7427825E7,111
2024-07-02,530.5,550.5,524.0,48145,2.55654469E7,172
2024-07-01,519.0,522.5,513.0,17069,8833958.5,82
2024-06-30,512.4,524.0,512.4,29076,1.50260207E7,153
2024-06-27,516.9,527.0,508.0,14616,7554076.1,104
2024-06-26,518.0,524.0,515.6,20530,1.064333E7,100
2024-06-25,521.0,527.9,518.0,29727,1.54730223E7,141
2024-06-24,523.9,527.9,520.3,26197,1.36872564E7,148
2024-06-23,522.8,532.0,519.2,30358,1.58335472E7,144
2024-06-20,522.0,527.0,520.0,26095,1.36447836E7,145
2024-06-19,525.0,531.0,521.2,18232,9550937.9,122
2024-06-18,523.5,535.0,523.1,21651,1.13809293E7,135
2024-06-16,527.2,540.0,527.1,24057,1.27766876E7,126
2024-06-13,532.0,539.0,530.3,28676,1.52805878E7,183
2024-06-12,539.0,551.9,535.1,45815,2.49352519E7,240
2024-06-11,543.0,549.0,527.1,58936,3.17927668E7,306
2024-06-10,528.0,530.9,519.0,43694,2.29081178E7,236
2024-06-09,521.0,528.9,520.1,34590,1.80786946E7,190
2024-06-06,526.7,534.9,523.8,16145,8479217.2,135
2024-06-05,528.4,537.0,520.4,15664,8272935.6,124
2024-06-04,530.0,540.4,525.4,51299,2.71620698E7,174
2024-06-03,529.9,542.6,525.0,31531,1.66348453E7,173
2024-06-02,532.0,546.0,526.2,20102,1.06607996E7,113
2024-05-30,530.0,535.0,527.0,36113,1.91514231E7,169
2024-05-29,535.0,553.3,535.0,29939,1.6128703E7,162
2024-05-27,542.5,549.0,540.0,34882,1.89822877E7,156
2024-05-26,545.0,555.0,545.0,20163,1.10659141E7,132
2024-05-22,552.0,564.0,550.0,60481,3.34512257E7,211
2024-05-21,556.0,560.0,550.0,42225,2.34032735E7,160
2024-05-20,553.5,580.0,551.0,91956,5.18881721E7,401
2024-05-19,563.0,566.5,538.0,164132,9.18141488E7,783
2024-05-16,535.0,539.9,529.5,23387,1.24395654E7,129
2024-05-15,535.4,549.0,535.2,37588,2.0365812E7,169
2024-05-14,539.1,543.5,527.1,30692,1.6574951E7,106
2024-05-13,531.0,542.0,525.3,18491,9835689.4,120
2024-05-12,536.0,546.0,530.0,32265,1.74209465E7,197
2024-05-09,530.0,531.0,525.1,10608,5602263.4,84
2024-05-08,526.0,532.0,522.0,18169,9560955.6,147
2024-05-07,523.5,534.0,523.0,11329,5958854.6,77
2024-05-06,524.3,535.2,524.3,13286,7000565.1,83
2024-05-05,534.0,546.0,527.3,28837,1.54269188E7,152
2024-05-02,536.0,559.5,535.1,42093,2.28413538E7,191
2024-04-30,538.0,543.0,522.0,27681,1.47639998E7,148
2024-04-29,524.0,530.0,518.4,9484,4978756.8,70
2024-04-28,525.0,529.9,517.3,15117,7940028.4,105
2024-04-25,515.7,526.0,515.2,17400,9038415.2,109
2024-04-24,518.1,523.8,518.1,7441,3875550.2,55
2024-04-22,520.0,528.0,518.3,7521,3919716.9,49
2024-04-21,525.0,530.0,515.0,31296,1.64471888E7,98
2024-04-18,521.5,526.0,510.0,11633,6033119.3,77
2024-04-16,518.5,525.0,518.0,13859,7233371.9,88
2024-04-15,520.2,530.1,520.2,8426,4432129.4,70
2024-04-14,528.0,539.9,524.3,40199,2.13223128E7,157
2024-04-10,537.1,554.8,536.0,20399,1.10735721E7,125
2024-04-09,545.3,552.0,534.0,67826,3.68245836E7,219
2024-04-07,536.5,537.9,520.3,47700,2.54602203E7,191
2024-04-04,524.3,529.0,519.2,30983,1.62036473E7,131
2024-04-03,525.0,538.7,524.5,16510,8716360.9,85
2024-04-02,528.2,545.5,528.0,7948,4215568.3,60
2024-04-01,534.9,539.7,529.0,15385,8178750.8,112
2024-03-31,540.0,541.0,532.4,11847,6341493.1,87
2024-03-28,533.1,545.0,531.0,36590,1.95749084E7,149
2024-03-27,536.8,545.0,533.7,24561,1.3204914E7,102
2024-03-26,542.9,552.0,535.2,20944,1.13263346E7,99
2024-03-25,544.0,545.0,535.0,22079,1.19146622E7,106
2024-03-21,543.8,554.6,535.0,24566,1.32889156E7,130
2024-03-20,543.8,553.0,541.0,18121,9868850.6,122
2024-03-19,544.0,555.0,542.3,30149,1.65649387E7,170
2024-03-18,545.3,555.0,545.0,23756,1.2999517E7,124
2024-03-17,549.9,560.0,545.3,32778,1.80860566E7,149
2024-03-14,551.0,566.0,545.0,46184,2.55532442E7,214
2024-03-13,561.0,580.3,557.1,55712,3.13900056E7,257
2024-03-12,569.0,569.9,552.0,73921,4.14941609E7,309
2024-03-10,550.0,560.0,540.0,47293,2.61275324E7,222
2024-03-07,543.8,544.5,524.1,29666,1.59693323E7,144
2024-03-06,530.0,541.8,515.0,96918,5.0861679E7,359
2024-03-05,533.9,559.0,520.0,78926,4.20086675E7,311
2024-03-04,559.0,559.0,529.0,1767,959707.0,14
2024-03-03,518.7,530.0,507.0,68883,3.53456929E7,259
2024-02-29,525.0,539.0,520.1,21359,1.12070355E7,118
2024-02-28,538.0,543.0,526.0,29422,1.57803686E7,110
2024-02-27,532.8,540.0,528.2,19107,1.01895983E7,120
2024-02-26,529.0,540.0,526.0,30298,1.60171696E7,97
2024-02-25,529.0,546.9,520.0,19851,1.05434418E7,125
2024-02-22,537.0,554.0,535.2,24103,1.30612786E7,143
