BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,549.0,574.0,549.0,127067,7.07976008E7,2571
2024-08-22,569.0,575.0,563.0,122440,6.94886728E7,2610
2024-08-21,567.0,584.0,566.0,122994,7.03019764E7,2542
2024-08-18,573.0,597.0,570.0,244725,1.425027942E8,3496
2024-08-15,580.2,599.0,580.0,193473,1.1385669348E8,3811
2024-08-14,584.5,606.0,570.0,200697,1.1764428E8,3128
2024-08-13,584.0,602.0,571.0,237031,1.392713134E8,3862
2024-08-12,594.0,598.7,560.0,231206,1.336790152E8,3442
2024-08-11,557.0,559.1,535.0,166215,9.20252516E7,2752
2024-08-08,540.0,560.0,536.0,108750,5.94311651E7,1766
2024-08-07,546.0,548.0,512.0,126086,6.70645952E7,2420
2024-08-06,521.6,565.0,520.0,162390,8.77409716E7,2529
2024-08-05,562.5,570.0,553.7,135792,7.63690394E7,2357
2024-08-01,557.5,576.0,535.0,205682,1.1446111233E8,2775
2024-07-31,534.0,536.0,520.0,137537,7.30605937E7,2336
2024-07-30,517.0,525.3,500.1,97569,4.98413613E7,1845
2024-07-29,509.9,535.0,509.9,99097,5.14984138E7,1655
2024-07-28,525.0,542.0,510.0,116725,6.07457117E7,1393
2024-07-25,511.0,520.0,500.0,101036,5.1458271E7,1529
2024-07-24,508.0,525.0,500.0,138092,7.08015234E7,1830
2024-07-23,510.0,513.0,483.0,123772,6.21486333E7,1843
2024-07-22,488.8,494.9,480.0,80876,3.9365858E7,1365
2024-07-21,489.1,493.0,478.0,101903,4.98203181E7,1487
2024-07-18,484.8,493.0,475.0,158020,7.67509237E7,1664
2024-07-17,476.0,479.0,466.0,80965,3.83678025E7,1087
2024-07-16,464.0,465.0,450.0,44588,2.05352474E7,796
2024-07-15,453.0,472.0,450.0,64337,2.95543064E7,756
2024-07-14,463.0,475.0,457.0,59154,2.74357364E7,862
2024-07-11,449.1,451.9,443.0,53396,2.39789837E7,861
2024-07-10,440.0,446.0,438.0,21743,9573306.1,587
2024-07-09,437.5,444.0,430.0,15267,6702638.3,488
2024-07-08,436.2,449.0,435.0,34406,1.51211189E7,585
2024-07-07,444.0,448.7,433.2,59031,2.62888997E7,921
2024-07-04,434.0,437.4,420.0,47546,2.05000791E7,899
2024-07-03,421.7,425.0,420.0,10580,4465265.7,355
2024-07-02,426.0,441.0,423.0,29807,1.27808585E7,532
2024-07-01,415.5,417.0,412.5,18771,7787899.3,434
2024-06-30,415.1,418.0,414.7,24867,1.03420923E7,520
2024-06-27,417.2,421.0,415.4,14978,6260533.2,373
2024-06-26,421.9,423.0,419.9,15373,6466218.2,400
2024-06-25,423.0,425.0,418.4,16081,6788425.3,512
2024-06-24,421.0,425.0,419.0,29240,1.23066224E7,609
2024-06-23,424.5,427.0,423.5,26198,1.11245342E7,575
2024-06-20,427.5,430.0,427.0,15945,6828374.9,402
2024-06-19,431.0,433.9,427.3,15052,6459275.2,408
2024-06-18,429.0,433.7,428.0,18854,8086417.4,449
2024-06-16,430.0,440.0,430.0,24901,1.07625197E7,576
2024-06-13,434.2,439.9,431.0,18280,7938702.1,466
2024-06-12,438.0,445.9,438.0,21838,9631815.0,558
2024-06-11,437.9,439.7,421.0,26984,1.17154967E7,654
2024-06-10,429.1,433.4,427.0,24269,1.04358855E7,601
2024-06-09,428.6,434.0,428.0,28353,1.2183583E7,555
2024-06-06,433.0,439.0,431.0,21354,9242425.9,530
2024-06-05,433.8,437.0,428.0,14390,6253482.3,391
2024-06-04,436.1,440.0,432.1,22340,9738936.2,481
2024-06-03,433.0,440.0,432.1,22021,9596166.9,499
2024-06-02,436.1,443.0,432.0,26453,1.15704657E7,619
2024-05-30,436.6,447.7,436.0,38876,1.71285325E7,670
2024-05-29,447.0,466.1,441.0,58070,2.62072917E7,782
2024-05-27,457.0,461.0,447.0,100189,4.5489864E7,1335
2024-05-26,560.0,578.0,559.7,277933,1.566138338E8,4068
2024-05-22,568.0,570.0,561.0,81103,4.57850675E7,1404
2024-05-21,566.0,573.4,556.0,67587,3.83412609E7,1099
2024-05-20,562.2,575.2,562.0,84495,4.79479653E7,1200
2024-05-19,564.0,565.0,548.0,142502,7.97931945E7,1797
2024-05-16,539.0,544.0,538.2,23111,1.24749573E7,514
2024-05-15,540.9,554.0,539.0,34487,1.88357593E7,609
2024-05-14,547.0,550.0,529.2,30195,1.64509863E7,623
2024-05-13,540.0,546.9,537.0,23919,1.29621992E7,593
2024-05-12,538.0,546.0,537.0,39181,2.12189248E7,627
2024-05-09,536.0,541.5,535.0,36177,1.94359979E7,600
2024-05-08,536.3,551.4,536.3,33790,1.82121869E7,515
2024-05-07,540.6,548.9,538.0,34168,1.85651825E7,602
2024-05-06,542.0,563.0,537.2,78104,4.25028502E7,1137
2024-05-05,552.0,565.0,550.3,198751,1.105001213E8,1984
2024-05-02,570.0,606.0,567.4,497057,2.877575581E8,3911
2024-04-30,573.0,575.0,560.2,97644,5.55142384E7,1163
2024-04-29,563.9,571.0,559.6,79874,4.50102491E7,804
2024-04-28,565.0,575.0,563.0,101125,5.73163878E7,988
2024-04-25,569.9,570.0,551.1,134774,7.59332E7,1605
2024-04-24,551.2,557.0,544.0,55992,3.07847465E7,617
2024-04-22,550.0,560.0,541.2,84484,4.68231687E7,902
2024-04-21,549.0,550.0,536.0,48814,2.64735011E7,788
2024-04-18,540.0,554.0,538.0,33910,1.85044319E7,580
2024-04-16,550.0,557.0,545.3,50286,2.76583184E7,689
2024-04-15,553.0,559.0,540.0,72790,4.01757312E7,959
2024-04-14,545.2,560.0,545.0,30447,1.66812303E7,870
2024-04-10,550.4,561.0,550.0,69514,3.85394089E7,1048
2024-04-09,557.1,563.0,550.0,85802,4.7718819E7,1294
2024-04-07,549.0,552.0,525.6,79530,4.32232634E7,1405
2024-04-04,525.0,530.0,521.0,22748,1.19708838E7,690
2024-04-03,524.0,535.0,521.9,30851,1.6249291E7,808
2024-04-02,519.4,524.7,518.3,20311,1.05652258E7,662
2024-04-01,518.7,533.4,517.0,25098,1.3079859E7,664
2024-03-31,523.0,529.5,521.0,17913,9415483.9,707
2024-03-28,529.3,535.0,528.0,19063,1.010947E7,627
2024-03-27,533.0,535.0,527.3,22284,1.18087014E7,559
2024-03-26,531.3,536.0,526.8,19504,1.03897336E7,633
2024-03-25,532.4,539.0,532.1,22327,1.1932609E7,506
2024-03-21,538.6,544.0,538.4,18917,1.02209423E7,547
2024-03-20,541.5,546.0,540.0,23240,1.25851727E7,597
2024-03-19,542.2,552.0,542.0,23356,1.27565719E7,674
2024-03-18,545.0,553.0,543.1,25228,1.37918462E7,791
2024-03-17,547.0,555.0,541.0,53186,2.92162323E7,1095
2024-03-14,545.0,560.0,544.0,48617,2.67361231E7,819
2024-03-13,555.8,569.1,551.1,50077,2.79282447E7,1006
2024-03-12,558.0,569.0,530.0,97113,5.40759661E7,1778
2024-03-10,534.0,535.5,524.1,29787,1.58499192E7,947
2024-03-07,523.0,530.0,520.0,20446,1.07136063E7,599
2024-03-06,520.0,526.8,511.3,29200,1.51637603E7,692
2024-03-05,520.0,545.0,519.0,49088,2.59480806E7,783
2024-03-04,539.0,545.0,515.0,2760,1480221.0,29
2024-03-03,505.5,513.1,505.0,30789,1.56059328E7,650
2024-02-29,512.5,528.0,510.3,38502,1.98650901E7,604
