BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1150.0,1196.0,1081.0,36268,4.11929759E7,470
2024-08-22,1097.0,1128.0,1061.0,17582,1.91936077E7,264
2024-08-21,1065.0,1120.0,1065.0,10164,1.10910205E7,225
2024-08-18,1095.0,1122.0,1080.1,17711,1.96970353E7,311
2024-08-15,1100.0,1160.0,1087.1,18974,2.09546341E7,335
2024-08-14,1112.1,1150.0,1109.1,13196,1.47762024E7,216
2024-08-13,1130.0,1177.0,1130.0,11337,1.30672703E7,243
2024-08-12,1170.4,1220.0,1168.0,19899,2.34960074E7,326
2024-08-11,1182.0,1207.0,1160.0,17968,2.13036632E7,378
2024-08-08,1148.9,1190.0,1135.0,11981,1.38617149E7,214
2024-08-07,1170.0,1173.0,1130.0,14782,1.69959987E7,284
2024-08-06,1150.0,1217.0,1150.0,14165,1.67050326E7,243
2024-08-05,1195.0,1212.0,1183.0,17255,2.05668244E7,289
2024-08-01,1200.8,1239.0,1200.0,18079,2.20053528E7,277
2024-07-31,1215.0,1229.0,1205.0,25998,3.15995047E7,335
2024-07-30,1220.0,1240.0,1200.0,15743,1.90976677E7,278
2024-07-29,1209.9,1236.0,1200.0,23159,2.80346974E7,318
2024-07-28,1240.0,1298.4,1211.0,19528,2.42656032E7,257
2024-07-25,1273.0,1277.0,1200.0,40757,5.12666687E7,494
2024-07-24,1202.1,1281.0,1200.3,11626,1.41438927E7,181
2024-07-23,1210.1,1240.0,1205.0,16639,2.03133948E7,223
2024-07-22,1210.0,1260.0,1208.0,15275,1.86344716E7,221
2024-07-21,1236.0,1268.0,1216.4,26457,3.25773537E7,282
2024-07-18,1221.0,1342.3,1195.6,41141,5.21232394E7,464
2024-07-17,1233.0,1260.0,1211.0,15434,1.8817312E7,213
2024-07-16,1219.0,1243.0,1185.0,12778,1.54421186E7,145
2024-07-15,1196.0,1255.0,1196.0,10170,1.23398379E7,144
2024-07-14,1231.0,1292.0,1207.0,9108,1.11491257E7,145
2024-07-11,1220.0,1299.0,1215.0,15563,1.91247681E7,206
2024-07-10,1245.0,1260.0,1235.0,17074,2.12903105E7,181
2024-07-09,1238.0,1253.0,1200.0,18303,2.25224735E7,212
2024-07-08,1202.0,1231.0,1190.0,8307,9943136.2,117
2024-07-07,1208.0,1230.0,1190.0,12234,1.47409996E7,121
2024-07-04,1206.3,1243.0,1180.0,9432,1.13973697E7,107
2024-07-03,1220.0,1250.0,1185.0,17134,2.0494092E7,123
2024-07-02,1240.0,1339.0,1210.0,13108,1.61963332E7,177
2024-07-01,1220.0,1220.0,1165.0,9855,1.18432862E7,137
2024-06-30,1186.5,1207.0,1183.0,5155,6147861.1,88
2024-06-27,1204.5,1260.0,1201.0,4735,5723227.2,82
2024-06-26,1235.9,1285.0,1211.0,9255,1.14374155E7,144
2024-06-25,1259.9,1296.0,1195.0,17538,2.15465973E7,239
2024-06-24,1184.9,1199.0,1166.7,12426,1.46685443E7,156
2024-06-23,1167.0,1203.0,1165.0,5676,6692407.9,94
2024-06-20,1199.9,1206.0,1184.0,11798,1.41351103E7,127
2024-06-19,1188.3,1230.0,1185.8,9869,1.18177802E7,131
2024-06-18,1210.0,1248.0,1204.0,9432,1.14916343E7,144
2024-06-16,1248.0,1334.0,1220.0,33350,4.18700981E7,371
2024-06-13,1287.1,1327.0,1281.0,12464,1.61194269E7,137
2024-06-12,1302.0,1363.0,1293.6,11578,1.51311754E7,131
2024-06-11,1340.0,1370.0,1275.0,24223,3.22158109E7,256
2024-06-10,1294.0,1304.9,1238.0,15018,1.92846709E7,173
2024-06-09,1288.0,1330.0,1274.0,14013,1.81886837E7,203
2024-06-06,1327.0,1378.0,1327.0,13562,1.83422341E7,189
2024-06-05,1360.0,1400.0,1323.0,19156,2.60847395E7,231
2024-06-04,1375.0,1386.0,1305.0,23064,3.14204115E7,302
2024-06-03,1331.0,1331.0,1264.0,15226,1.98314954E7,168
2024-06-02,1289.0,1329.9,1258.4,10174,1.29901797E7,106
2024-05-30,1309.8,1331.0,1280.0,18790,2.44425941E7,277
2024-05-29,1350.0,1375.0,1310.0,14948,1.99335234E7,202
2024-05-27,1365.0,1409.0,1340.0,15060,2.05151622E7,237
2024-05-26,1385.0,1479.0,1375.0,22936,3.19825141E7,296
2024-05-22,1479.0,1489.6,1322.1,33817,4.72960154E7,392
2024-05-21,1410.0,1440.0,1386.7,21614,3.04186487E7,265
2024-05-20,1439.0,1492.0,1388.0,57347,8.24552832E7,593
2024-05-19,1362.2,1400.0,1345.0,13996,1.90788615E7,189
2024-05-16,1379.9,1380.0,1315.0,24046,3.26947411E7,287
2024-05-15,1340.0,1383.0,1339.0,13063,1.76607266E7,161
2024-05-14,1365.0,1406.5,1354.0,16069,2.1953694E7,205
2024-05-13,1352.0,1370.0,1333.0,23851,3.22232011E7,219
2024-05-12,1365.0,1368.8,1324.1,25249,3.38628328E7,301
2024-05-09,1372.0,1425.0,1350.0,21966,3.01002367E7,386
2024-05-08,1407.9,1407.9,1254.4,37829,5.06667809E7,577
2024-05-07,1280.0,1290.0,1181.0,30042,3.74058071E7,474
2024-05-06,1180.0,1200.0,1152.0,12478,1.47715242E7,218
2024-05-05,1197.6,1245.0,1186.9,33879,4.15678835E7,492
2024-05-02,1186.9,1186.9,1037.0,31933,3.74267033E7,388
2024-04-30,1079.0,1079.0,965.0,20363,2.05028034E7,279
2024-04-29,981.0,981.0,949.8,6713,6524214.6,87
2024-04-28,967.0,967.0,927.0,10481,9959603.1,141
2024-04-25,923.6,939.4,921.0,2095,1944172.0,37
2024-04-24,935.0,951.0,925.0,2208,2062962.9,44
2024-04-22,946.0,956.0,930.0,4885,4601056.6,46
2024-04-21,956.9,966.0,931.0,5416,5115672.8,83
2024-04-18,959.0,964.0,935.2,5442,5166885.4,65
2024-04-16,969.0,988.0,959.5,6461,6269780.9,97
2024-04-15,985.0,990.4,953.0,10722,1.04812819E7,164
2024-04-14,971.0,974.0,921.2,11727,1.12805886E7,157
2024-04-10,940.0,984.9,935.1,7704,7263336.2,123
2024-04-09,969.0,990.0,953.0,22304,2.16414162E7,212
2024-04-07,964.0,970.0,938.2,21898,2.08580579E7,199
2024-04-04,951.0,966.0,906.0,21939,2.07804656E7,288
2024-04-03,924.9,927.0,906.6,11560,1.05880211E7,126
2024-04-02,907.8,932.0,882.0,24602,2.24207489E7,222
2024-04-01,890.0,892.5,875.0,7595,6680548.7,97
2024-03-31,889.0,897.0,865.2,7009,6182314.2,99
2024-03-28,881.0,915.0,880.1,7875,7023633.7,107
2024-03-27,908.0,941.1,870.0,14175,1.27230641E7,185
2024-03-26,887.0,903.7,874.5,12136,1.07125388E7,151
2024-03-25,870.0,902.7,868.0,22413,1.95885076E7,173
2024-03-21,885.0,933.0,885.0,13527,1.21356837E7,184
2024-03-20,920.0,958.8,886.0,20477,1.88320559E7,280
2024-03-19,903.0,907.0,823.0,37653,3.30464062E7,435
2024-03-18,825.0,847.9,775.0,33531,2.72693272E7,341
2024-03-17,790.0,791.9,766.0,32947,2.58790597E7,263
2024-03-14,760.0,765.0,745.0,10787,8124973.5,137
2024-03-13,750.0,762.0,733.0,6562,4955369.6,84
2024-03-12,755.9,755.9,725.5,14479,1.07485586E7,175
2024-03-10,725.5,728.0,704.0,8304,5974641.3,109
2024-03-07,704.0,706.8,686.2,1836,1285576.0,45
2024-03-06,693.0,719.4,658.0,2932,2019034.5,41
2024-03-05,670.0,688.1,670.0,4781,3248790.1,51
2024-03-04,674.7,674.7,674.7,15,10120.5,1
2024-03-03,661.5,675.0,661.5,1543,1028614.9,23
2024-02-29,675.0,675.0,662.2,7403,4940093.4,42
2024-02-28,679.0,695.0,670.0,785,527635.3,18
2024-02-27,684.0,690.0,676.3,338,229753.7,15
2024-02-26,690.0,695.0,672.0,2310,1566854.2,34
2024-02-25,695.0,698.0,664.0,4673,3195338.1,40
2024-02-22,690.0,694.0,665.1,2484,1673797.5,47
2024-02-21,689.0,690.0,679.5,475,324826.1,25
2024-02-20,693.0,714.0,667.0,1108,753051.1,41
2024-02-18,676.1,697.0,671.1,1656,1120682.3,35
2024-02-15,697.8,705.0,681.0,1724,1191339.8,41
