BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,576.0,610.9,570.0,30450,1.79854802E7,351
2024-08-22,599.0,608.0,583.1,40933,2.44187515E7,624
2024-08-21,583.1,602.8,580.0,40055,2.35100038E7,531
2024-08-18,596.7,625.0,580.0,89369,5.44227731E7,900
2024-08-15,605.7,665.0,605.7,98012,6.23230936E7,969
2024-08-14,625.9,625.9,548.2,93084,5.44668252E7,719
2024-08-13,569.0,596.0,565.2,43079,2.48413303E7,476
2024-08-12,584.0,599.9,555.0,73704,4.24167447E7,811
2024-08-11,548.0,555.0,517.0,52313,2.80651098E7,635
2024-08-08,519.9,535.0,507.0,31696,1.62746667E7,372
2024-08-07,516.9,520.0,487.1,25193,1.28869666E7,434
2024-08-06,495.0,541.0,489.0,38327,1.97146392E7,447
2024-08-05,529.9,538.4,519.0,31294,1.65577533E7,461
2024-08-01,529.0,550.0,520.0,36196,1.91898115E7,427
2024-07-31,542.9,550.0,533.0,40332,2.18082784E7,469
2024-07-30,538.4,538.4,501.0,57385,2.97393822E7,583
2024-07-29,503.0,525.0,502.0,17313,8866078.2,324
2024-07-28,515.0,537.0,511.0,15531,8007092.4,207
2024-07-25,517.0,526.0,511.1,26632,1.38216347E7,304
2024-07-24,523.0,540.0,508.2,28285,1.48262205E7,278
2024-07-23,532.0,545.0,516.0,43579,2.30435125E7,478
2024-07-22,516.0,529.5,490.1,50167,2.55304607E7,534
2024-07-21,490.0,499.0,488.0,32828,1.61757225E7,345
2024-07-18,499.0,518.0,487.0,39137,1.95278262E7,390
2024-07-17,497.5,513.0,484.2,25981,1.28925135E7,277
2024-07-16,494.0,494.8,442.1,42886,2.03497764E7,377
2024-07-15,450.0,462.0,447.1,23261,1.04589357E7,192
2024-07-14,448.0,468.1,446.0,20821,9383057.7,189
2024-07-11,450.0,460.0,444.2,21930,9872851.4,201
2024-07-10,449.0,460.0,446.0,8968,4051151.7,127
2024-07-09,457.9,461.0,446.1,15841,7219720.0,219
2024-07-08,452.0,462.0,446.2,17504,7925997.1,183
2024-07-07,455.0,455.1,445.0,30380,1.36958753E7,280
2024-07-04,448.0,450.0,437.0,19605,8756163.5,231
2024-07-03,440.0,440.0,430.1,23659,1.03141469E7,184
2024-07-02,434.9,452.9,428.6,19923,8619535.9,153
2024-07-01,427.0,432.6,421.2,13211,5645295.0,145
2024-06-30,425.0,434.0,420.5,14268,6097834.5,159
2024-06-27,427.0,436.0,422.5,13363,5704251.3,132
2024-06-26,430.3,446.0,430.0,28354,1.23434455E7,176
2024-06-25,438.0,442.0,428.0,21773,9521729.7,228
2024-06-24,427.9,428.1,419.2,18140,7725189.4,201
2024-06-23,420.0,429.4,418.0,13738,5799935.6,168
2024-06-20,423.0,430.0,420.0,25922,1.09743674E7,188
2024-06-19,427.9,441.4,426.0,27244,1.1735325E7,198
2024-06-18,433.0,445.0,429.0,26489,1.15885098E7,238
2024-06-16,437.1,455.0,428.1,86043,3.82590914E7,539
2024-06-13,426.9,426.9,412.1,36937,1.55344782E7,283
2024-06-12,415.0,430.0,411.1,28133,1.17793776E7,275
2024-06-11,420.0,432.3,415.7,40906,1.7250651E7,290
2024-06-10,423.9,431.9,413.0,50403,2.14786612E7,374
2024-06-09,410.5,416.0,399.0,48119,1.98382527E7,355
2024-06-06,399.0,404.8,384.0,41375,1.64888665E7,220
2024-06-05,391.0,411.0,391.0,22431,8891526.6,138
2024-06-04,403.0,412.9,400.2,21094,8516359.1,188
2024-06-03,411.0,423.9,405.0,34410,1.4158124E7,275
2024-06-02,415.0,421.0,405.0,54330,2.25724686E7,372
2024-05-30,409.0,412.9,390.1,43684,1.77105204E7,303
2024-05-29,393.0,407.0,393.0,27796,1.11367304E7,214
2024-05-27,395.9,404.0,388.2,20419,8079062.3,170
2024-05-26,394.0,405.0,391.3,27662,1.09944973E7,215
2024-05-22,403.8,429.0,403.0,34646,1.42868249E7,207
2024-05-21,421.0,423.4,395.0,66411,2.73849517E7,540
2024-05-20,397.8,401.0,388.0,49079,1.92463413E7,256
2024-05-19,386.1,403.0,382.2,12673,4910873.0,143
2024-05-16,389.9,395.0,377.6,10574,4110138.0,113
2024-05-15,393.0,400.0,380.1,34477,1.36008622E7,224
2024-05-14,391.9,394.0,370.5,31571,1.22402863E7,240
2024-05-13,378.0,380.0,373.3,4849,1822992.7,74
2024-05-12,379.9,385.0,373.9,11082,4190043.3,114
2024-05-09,381.5,393.1,370.5,12103,4601096.0,124
2024-05-08,378.0,383.8,362.1,4620,1707216.6,87
2024-05-07,369.0,380.0,362.6,11750,4345212.6,95
2024-05-06,369.9,370.0,359.1,7408,2707274.9,100
2024-05-05,365.0,378.0,365.0,16918,6231202.7,132
2024-05-02,377.0,389.0,374.0,15610,5899244.1,146
2024-04-30,382.3,388.6,373.1,18183,6916598.0,160
2024-04-29,378.9,394.0,373.0,8977,3383885.6,110
2024-04-28,380.0,385.0,373.0,15440,5819283.0,139
2024-04-25,371.0,385.3,370.0,25565,9607129.0,169
2024-04-24,378.9,395.3,374.2,9869,3735321.7,132
2024-04-22,380.0,396.0,379.1,12565,4842784.0,119
2024-04-21,386.0,406.0,375.0,17642,6823850.0,172
2024-04-18,381.0,383.8,373.5,12804,4851333.9,146
2024-04-16,384.9,403.0,381.0,19504,7537946.5,172
2024-04-15,397.0,417.0,392.0,27392,1.09651826E7,220
2024-04-14,409.5,428.0,403.8,49078,2.03910117E7,368
2024-04-10,412.0,418.4,396.7,118726,4.87835489E7,855
2024-04-09,389.0,394.9,379.0,21601,8396171.3,258
2024-04-07,383.0,384.0,365.8,14063,5288792.5,160
2024-04-04,373.0,374.9,368.5,17395,6461343.0,176
2024-04-03,370.1,386.9,369.1,18291,6933430.7,187
2024-04-02,383.3,399.9,380.4,18506,7143542.6,168
2024-04-01,393.0,404.9,390.0,38799,1.54436052E7,382
2024-03-31,397.0,405.7,366.5,86419,3.40364393E7,751
2024-03-28,373.0,377.0,362.5,34667,1.28845243E7,200
2024-03-27,370.0,382.0,363.4,26209,9694418.4,197
2024-03-26,367.9,370.0,347.0,18992,6925861.0,214
2024-03-25,355.0,356.9,345.0,15173,5347034.0,113
2024-03-21,350.0,359.0,349.2,6198,2183670.0,120
2024-03-20,359.0,365.0,354.1,16180,5793171.0,147
2024-03-19,363.9,374.9,355.0,22316,8112727.0,168
2024-03-18,367.9,371.3,366.1,6828,2512564.4,126
2024-03-17,369.0,385.2,365.6,21300,7883742.1,177
2024-03-14,377.7,382.3,370.1,15655,5830926.7,155
2024-03-13,374.9,382.0,368.0,44145,1.65065345E7,258
2024-03-12,370.2,377.9,364.0,31939,1.1897983E7,255
2024-03-10,370.7,372.3,365.0,24473,9031122.1,207
2024-03-07,365.0,373.0,356.0,40955,1.50101265E7,283
2024-03-06,355.0,365.0,343.1,47828,1.68990686E7,330
2024-03-05,347.8,361.0,342.1,27057,9470717.5,213
2024-03-04,362.0,368.5,341.7,2991,1064281.0,15
2024-03-03,335.0,340.0,323.1,20475,6810113.0,187
2024-02-29,329.0,359.8,325.0,26356,8963306.6,238
2024-02-28,356.0,365.0,353.0,11140,3973082.0,134
2024-02-27,364.0,373.0,358.0,23843,8628880.6,173
2024-02-26,359.0,364.1,353.0,13594,4858536.5,192
2024-02-25,357.0,375.0,357.0,18436,6736654.0,272
2024-02-22,371.0,383.0,358.0,32214,1.18083564E7,390
2024-02-21,372.3,391.1,372.3,25502,9656359.9,276
2024-02-20,383.7,388.6,359.8,61863,2.36057307E7,606
2024-02-18,367.1,383.0,360.7,60775,2.28322265E7,536
2024-02-15,368.0,378.0,367.0,34778,1.29716694E7,313
2024-02-14,377.0,385.0,367.0,28864,1.08843609E7,278
2024-02-13,381.0,395.0,364.4,75408,2.88614076E7,523
2024-02-12,375.0,382.9,366.0,43081,1.60635214E7,433
2024-02-11,369.7,386.0,363.0,55182,2.06246486E7,545
2024-02-08,375.0,380.0,353.0,114967,4.24821633E7,1013
2024-02-07,349.3,354.9,329.1,64843,2.22052333E7,669
2024-02-06,329.5,333.4,327.0,10413,3439211.4,248
2024-02-05,327.0,337.2,323.5,35428,1.16778547E7,299
2024-02-04,322.0,327.0,316.1,34287,1.10036488E7,360
2024-02-01,329.0,332.0,319.5,28287,9182785.2,275
2024-01-31,332.0,343.1,324.0,51603,1.73071663E7,445
2024-01-30,329.9,333.0,322.0,32328,1.06039168E7,386
2024-01-29,324.0,329.0,310.0,27587,8967167.9,388
2024-01-28,314.0,316.3,304.0,17905,5592254.5,323
2024-01-25,307.4,313.0,301.0,12919,3958290.0,239
2024-01-24,306.0,316.2,305.0,17594,5462790.1,287
2024-01-23,305.0,318.2,302.0,23074,7116229.0,353
2024-01-22,312.0,320.0,307.8,22387,7003207.1,331
2024-01-21,318.0,333.9,314.0,39564,1.27002671E7,430
2024-01-18,322.0,330.0,306.1,28457,9062370.0,518
2024-01-17,312.0,345.7,312.0,44305,1.43519647E7,506
2024-01-16,339.0,353.0,337.6,42377,1.46165221E7,522
2024-01-14,342.9,350.8,330.0,36436,1.25269755E7,454
2024-01-11,328.0,339.0,316.0,21788,7175240.1,303
2024-01-10,322.0,330.0,309.7,34473,1.10790452E7,339
2024-01-09,316.0,335.0,312.2,51037,1.66240905E7,532
2024-01-08,314.0,317.0,291.1,28487,8685206.1,391
2024-01-07,296.0,309.0,296.0,32140,9730794.4,375
2024-01-04,298.0,316.0,298.0,20434,6247205.7,362
2024-01-03,306.0,306.0,287.0,17489,5237649.2,355
2024-01-02,291.0,301.9,280.0,32181,9226247.4,302
2024-01-01,296.0,326.0,289.2,33641,1.03675005E7,503
2023-12-28,309.1,345.0,308.1,26851,8513419.7,436
2023-12-27,319.9,322.1,288.1,65895,2.05009451E7,794
2023-12-24,292.9,300.6,284.3,27518,8113452.1,421
2023-12-21,295.0,299.0,282.0,27521,7969234.6,370
2023-12-20,300.0,307.4,285.1,36388,1.07623611E7,397
2023-12-19,295.5,299.0,276.0,18533,5240689.0,310
2023-12-18,284.0,303.9,281.0,42190,1.23902449E7,459
2023-12-17,290.0,293.5,263.0,46034,1.29563394E7,451
2023-12-14,276.0,280.5,263.0,23773,6494746.4,268
