BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,741.0,793.5,738.0,66643,5.06682319E7,662
2024-08-22,778.0,815.0,777.0,120611,9.66412372E7,945
2024-08-21,789.0,790.0,764.0,153460,1.193520768E8,994
2024-08-18,749.9,808.0,726.0,158451,1.204660328E8,1093
2024-08-15,763.0,820.0,755.0,158060,1.250324054E8,1129
2024-08-14,790.5,816.0,745.1,220920,1.751432444E8,1419
2024-08-13,754.0,782.0,740.0,130204,9.92710594E7,938
2024-08-12,751.9,770.0,730.0,133850,1.009742471E8,987
2024-08-11,720.0,740.0,714.1,107487,7.80629722E7,776
2024-08-08,715.0,740.0,710.0,153874,1.111948097E8,1202
2024-08-07,743.9,771.0,690.0,97769,7.22121507E7,834
2024-08-06,705.0,755.0,700.0,210782,1.537561062E8,1637
2024-08-05,770.0,825.0,740.0,217951,1.713580213E8,1529
2024-08-01,815.0,879.0,799.7,209170,1.770315745E8,1247
2024-07-31,855.0,880.0,808.0,154997,1.326022048E8,1207
2024-07-30,808.0,819.9,765.0,166212,1.32281267E8,1424
2024-07-29,765.1,782.0,715.0,288963,2.171452477E8,2040
2024-07-28,716.4,731.8,705.6,65084,4.67147118E7,539
2024-07-25,717.5,733.0,717.0,119520,8.6639252E7,882
2024-07-24,719.0,739.0,718.0,129772,9.46511401E7,859
2024-07-23,718.2,730.0,701.0,129744,9.3489398E7,985
2024-07-22,715.0,737.9,708.6,150360,1.076166277E8,927
2024-07-21,725.0,749.0,710.0,119184,8.70814436E7,955
2024-07-18,724.0,777.7,710.6,244049,1.795488558E8,1618
2024-07-17,746.0,765.0,703.7,179535,1.337215513E8,1168
2024-07-16,718.0,743.5,686.0,238075,1.71792046E8,1499
2024-07-15,742.5,808.5,742.5,256658,1.915461226E8,1763
2024-07-14,825.0,831.0,700.0,327343,2.427585725E8,1700
2024-07-11,755.8,755.8,681.1,164026,1.151917607E8,980
2024-07-10,694.9,700.0,663.0,216090,1.482803614E8,1567
2024-07-09,650.0,720.0,632.0,203525,1.356444088E8,921
2024-07-08,671.9,693.8,641.0,232869,1.555512822E8,1446
2024-07-07,680.2,680.2,635.1,132309,8.65713352E7,869
2024-07-04,649.9,682.0,643.0,134769,8.91461317E7,895
2024-07-03,674.9,679.0,620.0,188866,1.238878198E8,1343
2024-07-02,631.1,653.8,605.0,115372,7.19887729E7,751
2024-07-01,605.0,624.8,584.1,160641,9.76951497E7,914
2024-06-30,596.0,620.0,573.3,198254,1.1985729E8,1399
2024-06-27,585.0,599.0,570.0,135665,7.94605377E7,670
2024-06-26,578.0,596.2,566.2,63462,3.70290369E7,450
2024-06-25,577.0,615.9,577.0,77650,4.63959833E7,630
2024-06-24,599.0,612.0,565.0,218206,1.280999534E8,1328
2024-06-23,570.0,575.7,555.0,100731,5.69435187E7,733
2024-06-20,555.0,566.4,543.9,74762,4.18779452E7,476
2024-06-19,555.0,565.0,524.3,123945,6.82991892E7,622
2024-06-18,535.0,557.7,534.0,36852,1.9830985E7,350
2024-06-16,546.8,552.7,536.2,111072,6.02303174E7,469
2024-06-13,540.0,563.0,540.0,121220,6.69812751E7,601
2024-06-12,554.0,577.3,554.0,143110,8.00650595E7,698
