BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1481.0,1560.0,1395.0,12009,1.76914595E7,162
2024-08-22,1432.0,1475.0,1419.0,1079,1552418.5,35
2024-08-21,1449.0,1459.0,1400.0,2738,3906680.6,60
2024-08-18,1410.0,1460.0,1408.0,8041,1.1437538E7,77
2024-08-15,1432.1,1505.0,1431.0,5924,8587602.3,111
2024-08-14,1477.0,1499.0,1432.0,695,1017644.5,35
2024-08-13,1490.0,1550.0,1456.0,4314,6453618.8,84
2024-08-12,1477.0,1528.8,1465.0,4383,6483628.0,68
2024-08-11,1476.0,1476.0,1438.0,4827,7039371.0,91
2024-08-08,1423.9,1495.0,1391.0,4709,6677714.1,81
2024-08-07,1440.0,1455.0,1390.0,1745,2491079.1,58
2024-08-06,1407.0,1530.0,1375.0,5239,7516446.4,119
2024-08-05,1520.0,1525.0,1500.0,1988,3004845.0,51
2024-08-01,1529.0,1620.0,1516.0,5208,7977195.4,73
2024-07-31,1528.0,1584.0,1511.0,3256,5019661.5,57
2024-07-30,1558.0,1565.0,1518.0,2139,3286489.3,62
2024-07-29,1515.0,1600.0,1515.0,4697,7308817.8,110
2024-07-28,1600.0,1681.9,1582.0,2752,4423957.0,67
2024-07-25,1649.0,1655.0,1555.1,9455,1.53873285E7,128
2024-07-24,1580.0,1600.9,1544.0,2196,3451717.4,63
2024-07-23,1602.0,1615.0,1552.0,2973,4725631.9,62
2024-07-22,1573.0,1659.1,1536.8,5614,8921501.3,91
2024-07-21,1637.0,1658.0,1606.0,2412,3938782.7,48
2024-07-18,1628.0,1680.0,1540.0,15809,2.54970904E7,231
2024-07-17,1540.0,1560.0,1470.0,7411,1.1231811E7,101
2024-07-16,1473.0,1480.0,1422.0,1147,1669853.2,40
2024-07-15,1425.1,1509.0,1425.1,2367,3472154.5,52
2024-07-14,1480.0,1529.0,1469.0,4651,6927222.0,64
2024-07-11,1470.0,1525.9,1456.0,3181,4715736.3,70
2024-07-10,1496.0,1528.1,1451.2,8488,1.27270408E7,191
2024-07-09,1436.5,1439.0,1412.0,2877,4108088.5,57
2024-07-08,1395.0,1432.9,1382.0,870,1211507.7,22
2024-07-07,1405.0,1438.0,1332.9,1853,2583058.8,44
2024-07-04,1360.1,1392.0,1352.0,1930,2630541.2,34
2024-07-03,1372.0,1392.0,1338.2,1574,2128208.9,27
2024-07-02,1365.0,1430.0,1351.6,795,1087100.7,30
2024-07-01,1325.1,1390.0,1325.0,978,1313843.2,28
2024-06-30,1368.0,1400.0,1368.0,453,625275.5,14
2024-06-27,1395.0,1414.0,1386.1,556,775958.7,15
2024-06-26,1396.0,1448.0,1375.0,1270,1801917.2,42
2024-06-25,1419.9,1419.9,1391.0,1624,2284426.4,47
2024-06-24,1395.0,1401.5,1370.0,2480,3414256.1,59
2024-06-23,1384.0,1384.5,1330.2,1250,1700542.7,36
2024-06-20,1383.0,1404.5,1371.0,965,1335742.4,26
2024-06-19,1377.0,1400.0,1377.0,1198,1651457.1,23
2024-06-18,1390.0,1400.0,1360.2,556,766642.0,23
2024-06-16,1394.0,1428.0,1370.0,1331,1845772.8,35
2024-06-13,1400.0,1430.0,1395.2,2073,2911200.5,34
2024-06-12,1430.0,1450.0,1401.4,1858,2640175.3,52
2024-06-11,1405.0,1420.0,1392.1,2635,3691360.0,45
2024-06-10,1410.0,1435.0,1397.0,1377,1945524.5,36
2024-06-09,1401.0,1460.0,1400.0,2974,4224352.8,70
2024-06-06,1458.0,1503.0,1371.0,18756,2.7238158E7,216
2024-06-05,1388.1,1416.0,1365.0,4485,6246755.0,88
2024-06-04,1382.0,1387.2,1360.0,5159,7096296.7,66
2024-06-03,1360.0,1370.0,1283.0,2812,3798350.0,56
2024-06-02,1297.0,1325.3,1275.0,1525,1977098.0,26
2024-05-30,1274.0,1346.4,1274.0,3562,4576908.7,67
2024-05-29,1320.0,1390.2,1316.5,1276,1733886.1,25
2024-05-27,1363.0,1369.9,1313.0,1477,1988386.9,45
2024-05-26,1334.2,1416.0,1300.0,2231,2971440.8,62
2024-05-22,1389.0,1424.0,1365.0,995,1371703.6,27
2024-05-21,1400.0,1425.0,1373.0,7070,9807509.1,85
2024-05-20,1400.0,1475.0,1390.0,5843,8395981.8,76
2024-05-19,1435.1,1485.0,1376.0,3566,5101960.0,74
2024-05-16,1460.0,1475.0,1369.1,12806,1.82810538E7,176
2024-05-15,1370.0,1461.0,1347.3,6560,9139722.7,125
2024-05-14,1347.3,1347.3,1239.0,14050,1.86326044E7,177
2024-05-13,1224.9,1230.0,1191.0,2246,2712117.8,50
2024-05-12,1191.0,1235.0,1190.8,2066,2499111.1,41
2024-05-09,1223.1,1285.0,1223.1,4688,5815322.4,59
2024-05-08,1240.1,1256.9,1216.0,2450,3052468.5,56
2024-05-07,1213.1,1240.0,1200.0,1059,1291896.0,46
2024-05-06,1188.0,1220.0,1181.0,2313,2751753.2,51
2024-05-05,1220.0,1295.0,1205.0,3971,4892350.4,85
2024-05-02,1230.0,1248.5,1157.0,6156,7503027.9,144
2024-04-30,1135.0,1146.0,1080.0,1967,2183376.6,42
2024-04-29,1123.0,1133.0,1105.2,900,1006969.0,21
2024-04-28,1111.0,1152.0,1111.0,517,583629.0,16
2024-04-25,1130.0,1138.0,1103.1,1016,1138535.4,26
2024-04-24,1116.1,1139.0,1081.0,1266,1423971.5,26
2024-04-22,1120.0,1155.5,1100.0,839,933735.0,24
2024-04-21,1120.0,1142.0,1100.0,2511,2802236.9,41
2024-04-18,1100.1,1140.0,1100.1,1277,1415678.0,31
2024-04-16,1125.0,1183.9,1125.0,1429,1631298.9,34
2024-04-15,1185.0,1245.0,1163.3,6991,8514935.8,136
2024-04-14,1186.0,1199.0,1106.0,2342,2676726.5,65
2024-04-10,1127.9,1151.1,1120.0,1857,2108899.3,43
2024-04-09,1163.0,1210.0,1157.5,2224,2636742.4,52
2024-04-07,1185.0,1243.0,1150.0,7794,9407673.6,185
2024-04-04,1130.0,1135.0,1070.0,7196,7987551.6,135
2024-04-03,1095.0,1100.0,1040.1,7460,8004375.4,136
2024-04-02,1040.0,1049.0,995.0,3024,3093836.4,42
2024-04-01,980.1,1020.0,973.0,1147,1152381.3,29
2024-03-31,992.0,999.0,987.0,1164,1154277.2,36
2024-03-28,1006.6,1027.0,995.0,1437,1444104.8,36
2024-03-27,1025.0,1050.0,1011.0,1075,1093109.6,20
2024-03-26,1030.0,1059.0,1012.1,1385,1422197.1,28
2024-03-25,1002.1,1040.0,995.1,2636,2694117.1,45
2024-03-21,1060.0,1080.0,1040.0,4270,4554652.8,76
2024-03-20,1055.5,1094.9,1048.0,5159,5544791.7,97
2024-03-19,1036.0,1070.0,1029.9,1970,2073887.4,44
2024-03-18,1019.9,1030.0,1005.0,1290,1308354.1,32
2024-03-17,1024.0,1060.0,983.0,2827,2853922.4,64
2024-03-14,1020.0,1080.0,998.9,4771,4864996.3,121
2024-03-13,1074.0,1095.0,1015.4,8704,9288754.8,259
2024-03-12,995.5,995.5,922.9,7199,7007471.2,209
2024-03-10,905.0,922.0,873.0,2694,2416278.5,75
2024-03-07,871.0,884.0,854.0,706,608196.0,23
2024-03-06,868.0,875.0,850.0,411,353353.5,21
2024-03-05,846.0,887.9,843.4,531,456952.0,23
2024-03-04,875.1,875.1,875.1,10,8751.0,1
2024-03-03,858.0,869.9,839.0,139,118153.8,9
2024-02-29,856.0,862.0,840.0,261,220289.8,10
2024-02-28,862.0,862.0,845.0,145,123016.5,10
2024-02-27,860.2,873.9,857.1,210,181509.3,11
2024-02-26,865.0,880.0,845.0,1102,941709.7,30
2024-02-25,867.9,891.0,857.0,162,140375.0,11
2024-02-22,873.9,876.9,854.0,476,410640.0,13
2024-02-21,863.0,895.0,863.0,284,245856.0,11
2024-02-20,879.9,881.6,847.5,1366,1174254.9,23
2024-02-18,874.0,899.0,869.0,1058,936363.0,24
2024-02-15,885.9,890.0,866.0,1527,1337981.6,26
2024-02-14,874.0,892.0,871.2,968,848500.4,18
2024-02-13,883.0,892.5,875.0,512,451790.5,25
2024-02-12,875.0,875.0,865.0,370,320768.0,9
2024-02-11,879.5,890.0,857.0,785,680516.9,24
2024-02-08,873.9,879.0,840.0,991,851593.9,30
2024-02-07,870.0,882.7,850.2,1424,1222368.7,25
2024-02-06,865.5,886.0,850.0,1338,1147544.3,28
2024-02-05,869.9,895.0,859.6,473,410194.7,21
2024-02-04,879.0,880.0,865.0,698,613723.0,11
2024-02-01,850.0,868.0,840.0,571,481412.0,16
2024-01-31,851.0,870.0,851.0,214,184681.2,11
2024-01-30,880.0,901.0,880.0,373,332855.2,18
2024-01-29,883.9,913.0,873.1,687,605814.5,23
2024-01-28,896.0,897.2,865.0,559,488297.2,19
2024-01-25,896.0,896.0,851.1,1701,1465495.6,32
2024-01-24,870.0,875.0,854.0,825,710180.7,20
2024-01-23,869.0,870.0,838.1,1144,976334.4,38
2024-01-22,875.0,899.0,875.0,246,216126.0,13
2024-01-21,892.5,905.0,875.0,966,859882.0,33
2024-01-18,905.1,937.0,902.0,900,823763.6,29
2024-01-17,925.0,948.0,921.0,900,839683.0,29
2024-01-16,939.5,945.0,915.5,1447,1343483.5,41
2024-01-14,930.0,930.0,915.0,603,556541.0,21
2024-01-11,927.0,927.0,884.1,606,548509.6,17
2024-01-10,917.0,917.0,868.5,3238,2881872.6,67
2024-01-09,877.0,890.0,860.0,1674,1460892.8,33
2024-01-08,859.0,885.0,856.0,848,732762.6,21
2024-01-07,868.9,868.9,848.0,1267,1083663.6,25
2024-01-04,886.4,897.6,848.0,507,438526.4,21
2024-01-03,882.0,883.0,840.0,457,391169.5,21
2024-01-02,885.0,899.0,830.1,1765,1498494.8,42
2024-01-01,884.9,922.0,870.0,899,794156.3,15
2023-12-28,886.9,886.9,820.0,2219,1862198.1,57
2023-12-27,870.0,900.0,870.0,691,606907.7,33
2023-12-24,904.0,919.5,897.2,946,854929.8,22
2023-12-21,919.0,922.0,867.3,1458,1303706.4,45
2023-12-20,938.0,950.0,920.0,1312,1230796.5,33
2023-12-19,935.0,935.0,900.0,1866,1708422.5,48
2023-12-18,888.0,890.0,810.0,4315,3742630.9,88
2023-12-17,825.0,839.9,825.0,1031,854822.0,27
2023-12-14,841.3,841.4,808.5,1508,1247320.0,29
2023-12-13,840.0,858.6,835.0,345,291484.6,13
2023-12-12,843.0,850.0,820.0,422,351616.5,20
2023-12-11,836.0,865.0,820.1,1307,1089872.9,37
2023-12-10,835.0,835.0,834.0,41,34204.0,3
2023-12-07,820.0,840.0,806.8,1131,928824.8,21
2023-12-06,810.0,813.0,798.0,325,260550.0,6
2023-12-05,797.2,825.8,793.7,189,152252.0,8
2023-12-04,809.8,824.8,794.0,271,216791.5,14
2023-12-03,810.0,863.0,803.2,290,237909.0,17
2023-11-30,814.9,837.0,788.0,1278,1024025.4,29
2023-11-29,805.0,831.0,799.0,219,176914.0,11
2023-11-28,816.0,816.0,785.0,821,657718.0,21
2023-11-27,820.0,847.7,815.0,532,436699.0,10
2023-11-26,831.1,864.9,831.1,950,804544.0,25
2023-11-23,848.0,848.0,814.1,385,318294.9,12
2023-11-22,842.0,850.0,833.0,98,82157.4,8
2023-11-21,835.0,849.0,835.0,385,325560.0,8
2023-11-20,866.0,866.0,830.0,575,480051.0,21
2023-11-09,851.0,872.0,851.0,188,160791.8,6
2023-11-08,870.0,870.0,849.5,342,293263.5,14
2023-11-07,866.8,883.0,837.1,508,433495.5,21
2023-11-06,867.0,867.0,848.0,260,222788.0,10
2023-11-05,864.5,875.0,848.0,373,319718.9,10
2023-11-02,875.0,889.0,856.0,190,165556.7,15
2023-11-01,873.0,889.0,873.0,60,52672.0,4
2023-10-31,874.9,874.9,851.0,165,142171.0,9
2023-10-30,880.0,880.0,850.0,906,773811.0,18
2023-10-29,879.8,884.9,851.0,567,488535.0,20
2023-10-19,860.0,887.0,855.0,854,738360.1,17
2023-10-18,869.9,888.0,854.5,109,94986.0,6
2023-10-17,837.8,882.0,837.8,239,205195.2,12
2023-10-16,849.0,908.0,827.0,574,488143.0,25
2023-10-12,847.0,862.4,847.0,1207,1031165.0,29
2023-10-11,880.0,880.0,855.0,243,210268.0,7
2023-10-10,855.0,889.0,854.0,1075,924867.5,29
2023-10-09,877.0,895.7,861.0,1661,1448759.5,41
2023-10-08,893.0,918.0,882.0,410,370707.0,17
2023-10-05,900.0,929.0,891.0,1171,1059852.2,22
2023-10-04,897.0,929.0,897.0,190,172941.4,10
2023-10-03,915.0,924.8,886.9,972,881700.4,29
2023-10-02,897.0,897.0,880.0,961,851015.7,20
2023-10-01,891.1,937.0,891.1,410,375088.4,18
2023-09-27,920.0,952.0,897.0,165,152010.0,12
2023-09-26,934.0,989.0,900.0,1014,935962.7,33
2023-09-25,935.0,972.0,933.0,379,355406.3,12
2023-09-24,918.0,920.0,902.0,552,505200.4,24
2023-09-21,903.1,930.0,888.1,944,865413.3,31
2023-09-19,912.9,931.0,885.0,368,331673.0,14
2023-09-18,912.9,917.9,884.0,145,130118.0,11
2023-09-17,902.0,920.0,888.0,222,199205.0,15
2023-09-13,921.0,939.0,902.0,350,316809.0,8
2023-09-12,921.0,938.0,868.0,1411,1285530.6,24
2023-09-11,902.5,930.0,877.0,268,239512.0,17
2023-09-10,898.7,905.0,870.0,409,364749.7,16
2023-09-07,887.4,943.0,853.0,263,231850.0,17
2023-09-05,907.0,910.0,880.0,1123,994783.0,26
2023-09-04,913.9,918.0,886.9,396,359532.0,13
2023-09-03,905.0,915.0,880.0,665,596085.1,23
2023-08-30,912.0,955.2,909.0,2217,2043618.8,37
2023-08-29,936.5,972.0,936.1,466,445657.9,15
2023-08-28,954.0,986.7,909.0,203,189633.0,21
2023-08-27,927.0,963.0,927.0,330,308122.1,17
