BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1795.0,1855.0,1748.0,35231,6.33423659E7,783
2024-08-22,1782.0,1799.9,1761.0,16749,2.97390027E7,471
2024-08-21,1780.0,1832.0,1770.1,19529,3.4877171E7,586
2024-08-18,1760.0,1801.0,1740.0,26421,4.69067608E7,573
2024-08-15,1778.0,1831.9,1770.1,23694,4.23020586E7,605
2024-08-14,1796.0,1876.0,1786.0,23792,4.30036411E7,580
2024-08-13,1840.0,1920.0,1810.0,24284,4.49687647E7,652
2024-08-12,1853.0,1899.0,1768.6,37508,6.9679926E7,899
2024-08-11,1734.0,1737.0,1678.0,33220,5.70945199E7,769
2024-08-08,1646.0,1680.0,1626.0,20587,3.39804624E7,383
2024-08-07,1626.0,1630.0,1580.0,22174,3.58034982E7,491
2024-08-06,1601.0,1715.0,1601.0,21803,3.56071924E7,563
2024-08-05,1655.0,1699.9,1647.5,16957,2.81052893E7,455
2024-08-01,1679.9,1720.0,1666.0,17646,2.9767032E7,423
2024-07-31,1691.0,1700.0,1650.0,21032,3.53371552E7,478
2024-07-30,1680.0,1705.0,1600.0,22352,3.70844793E7,611
2024-07-29,1685.0,1740.0,1680.0,32745,5.55352904E7,758
2024-07-28,1749.9,1880.0,1650.0,33523,5.7723383E7,751
2024-07-25,1717.0,1717.2,1552.0,56291,9.37071398E7,1074
2024-07-24,1561.1,1620.0,1555.0,18142,2.87125118E7,435
2024-07-23,1604.0,1614.8,1585.0,21556,3.446529E7,400
2024-07-22,1585.5,1615.0,1551.0,18017,2.85321681E7,392
2024-07-21,1601.0,1620.0,1561.0,22291,3.56914622E7,439
2024-07-18,1569.0,1590.0,1505.0,24341,3.79109718E7,564
2024-07-17,1500.1,1511.0,1490.0,15323,2.30179411E7,361
2024-07-16,1482.0,1483.0,1455.0,11669,1.71920314E7,227
2024-07-15,1465.0,1500.0,1461.0,10352,1.52287143E7,236
2024-07-14,1479.9,1547.3,1460.0,11293,1.6734904E7,266
2024-07-11,1459.0,1491.0,1451.0,18207,2.68169133E7,333
2024-07-10,1473.2,1517.0,1451.0,22558,3.35453397E7,441
2024-07-09,1465.0,1473.0,1416.2,24122,3.51192894E7,437
2024-07-08,1434.0,1435.0,1370.0,22647,3.18206902E7,450
2024-07-07,1380.0,1380.0,1328.0,13644,1.85645852E7,305
2024-07-04,1335.0,1336.0,1323.0,7752,1.03218645E7,184
2024-07-03,1323.0,1330.0,1310.0,5604,7406409.0,143
2024-07-02,1330.0,1400.0,1315.0,4503,6033597.9,148
2024-07-01,1308.0,1313.0,1295.0,3104,4058375.3,130
2024-06-30,1310.0,1325.0,1300.0,6281,8239276.5,140
2024-06-27,1314.0,1320.0,1309.3,3155,4149231.5,116
2024-06-26,1324.0,1348.0,1320.0,5572,7461481.0,128
2024-06-25,1335.0,1340.0,1315.0,4597,6124460.5,125
2024-06-24,1328.1,1340.0,1310.0,5697,7574986.5,156
2024-06-23,1324.0,1336.0,1311.0,5675,7507655.5,159
2024-06-20,1336.0,1355.0,1323.0,6914,9266366.7,154
2024-06-19,1330.0,1358.0,1330.0,6007,8046825.8,163
2024-06-18,1334.0,1340.0,1315.4,6155,8178534.1,169
2024-06-16,1331.0,1368.0,1331.0,6218,8341010.8,167
2024-06-13,1343.0,1370.0,1340.0,6422,8665911.4,170
2024-06-12,1352.0,1369.0,1340.1,7632,1.0349631E7,189
2024-06-11,1355.0,1360.0,1334.0,4587,6198499.0,138
2024-06-10,1335.2,1359.0,1330.0,4880,6552502.4,159
2024-06-09,1342.5,1375.0,1340.2,6087,8217850.4,159
2024-06-06,1375.0,1400.0,1338.0,15564,2.14070714E7,270
2024-06-05,1354.0,1380.0,1336.1,6017,8157781.4,171
2024-06-04,1353.0,1375.0,1335.0,5358,7298138.9,171
2024-06-03,1350.0,1370.0,1300.2,10506,1.38851077E7,227
2024-06-02,1307.0,1322.0,1300.0,12208,1.59702094E7,287
2024-05-30,1319.0,1369.0,1315.0,16692,2.22162097E7,423
2024-05-29,1371.0,1410.0,1370.0,8845,1.22558125E7,216
2024-05-27,1400.0,1421.0,1365.0,8230,1.15139388E7,205
2024-05-26,1389.0,1425.0,1385.3,6685,9351108.4,208
2024-05-22,1408.0,1455.0,1383.8,11960,1.69260541E7,273
2024-05-21,1430.0,1448.0,1404.0,7175,1.02812607E7,213
2024-05-20,1425.0,1503.0,1418.0,17837,2.6112985E7,406
2024-05-19,1450.0,1500.0,1426.0,22867,3.32834079E7,429
2024-05-16,1470.0,1500.0,1381.2,48847,7.13730877E7,983
2024-05-15,1380.0,1445.0,1375.0,17479,2.4690773E7,452
2024-05-14,1380.0,1380.9,1291.0,20659,2.79447605E7,407
2024-05-13,1307.0,1334.0,1282.1,4510,5856836.6,130
2024-05-12,1308.0,1319.9,1298.0,3262,4253733.5,136
2024-05-09,1317.0,1325.0,1303.4,5136,6742468.3,137
2024-05-08,1325.0,1341.0,1281.0,6882,9160684.4,189
2024-05-07,1307.0,1315.0,1270.1,3973,5181841.7,108
2024-05-06,1296.0,1320.0,1294.0,4336,5642157.5,137
2024-05-05,1330.0,1365.0,1327.0,7653,1.02751956E7,216
2024-05-02,1334.0,1353.0,1300.0,8713,1.16437747E7,287
2024-04-30,1300.0,1305.6,1270.0,5183,6685678.3,175
2024-04-29,1280.0,1290.0,1280.0,3869,4962407.4,152
2024-04-28,1286.3,1301.0,1278.0,3683,4738941.2,150
2024-04-25,1289.9,1295.0,1280.5,2769,3561237.9,109
2024-04-24,1280.5,1300.0,1280.0,3151,4066352.5,143
2024-04-22,1291.0,1310.0,1290.0,4389,5691286.0,145
2024-04-21,1290.0,1298.0,1285.0,2997,3869682.6,136
2024-04-18,1290.1,1335.1,1269.1,3839,4992713.8,148
2024-04-16,1309.0,1320.0,1300.0,3494,4565022.2,119
2024-04-15,1322.0,1350.0,1301.0,3840,5099174.4,163
2024-04-14,1315.0,1321.0,1295.0,5986,7812207.5,216
2024-04-10,1319.0,1338.0,1315.0,5258,6967038.4,158
2024-04-09,1340.0,1385.0,1330.0,6953,9363392.1,226
2024-04-07,1361.0,1395.0,1350.0,9619,1.31899485E7,291
2024-04-04,1356.1,1377.0,1335.0,8246,1.11759763E7,269
2024-04-03,1337.0,1350.0,1320.0,5931,7957176.7,211
2024-04-02,1315.0,1326.0,1290.1,3781,4968636.3,148
2024-04-01,1297.0,1305.0,1290.0,3088,4007230.3,127
2024-03-31,1303.0,1318.0,1296.1,3799,4950539.5,178
2024-03-28,1316.2,1350.0,1315.2,4103,5421318.3,155
2024-03-27,1324.0,1344.0,1315.0,6060,8025934.0,188
2024-03-26,1338.0,1354.0,1338.0,4885,6567635.2,178
2024-03-25,1350.0,1377.0,1342.0,2683,3629714.3,111
2024-03-21,1376.0,1399.4,1370.0,4690,6459532.0,191
2024-03-20,1400.0,1425.0,1355.0,15122,2.10534542E7,436
2024-03-19,1351.0,1370.0,1345.0,3683,5000112.5,143
2024-03-18,1340.0,1385.0,1337.0,3114,4209677.4,157
2024-03-17,1361.2,1369.0,1333.5,5258,7118531.0,236
2024-03-14,1370.0,1450.0,1367.0,9827,1.36317598E7,355
2024-03-13,1430.0,1480.0,1420.0,13197,1.90341844E7,509
2024-03-12,1400.0,1400.0,1341.0,11117,1.53147046E7,439
2024-03-10,1315.0,1330.0,1265.0,7978,1.04725771E7,239
2024-03-07,1260.0,1290.0,1260.0,2271,2885701.3,93
2024-03-06,1250.0,1268.0,1225.0,2432,3018525.4,101
2024-03-05,1245.0,1285.0,1235.0,3799,4744748.2,129
2024-03-04,1239.3,1239.3,1239.3,10,12393.0,1
2024-03-03,1215.0,1230.0,1209.0,1855,2261605.0,87
2024-02-29,1230.0,1259.0,1219.0,2893,3567168.9,90
2024-02-28,1260.0,1280.1,1221.7,2364,2939444.8,91
2024-02-27,1230.0,1236.9,1205.0,1789,2187053.3,71
2024-02-26,1221.0,1239.0,1218.0,3276,4009738.0,135
2024-02-25,1237.0,1250.0,1230.1,3277,4056760.2,119
2024-02-22,1253.1,1270.0,1245.2,2822,3535424.7,118
2024-02-21,1266.0,1290.0,1256.0,2328,2958986.5,104
2024-02-20,1277.0,1280.0,1260.0,2384,3020248.4,106
2024-02-18,1271.0,1295.0,1270.0,4185,5345252.8,151
2024-02-15,1290.0,1310.0,1286.0,2433,3151157.5,103
2024-02-14,1305.0,1305.0,1291.0,1327,1725135.3,63
2024-02-13,1300.0,1330.0,1300.0,2570,3355037.2,107
2024-02-12,1320.0,1329.5,1284.9,1675,2200274.1,76
2024-02-11,1311.1,1335.0,1311.0,3042,4020108.1,135
2024-02-08,1319.0,1329.0,1305.5,2133,2806113.5,103
2024-02-07,1320.0,1320.0,1310.0,1711,2252860.4,89
2024-02-06,1316.0,1330.0,1313.1,3432,4516261.1,107
2024-02-05,1315.0,1333.0,1299.0,3912,5157191.8,110
2024-02-04,1299.0,1349.4,1299.0,3928,5163101.0,162
2024-02-01,1323.0,1337.3,1320.0,2723,3611199.1,109
2024-01-31,1339.9,1355.0,1330.0,2146,2865424.6,101
2024-01-30,1348.0,1355.0,1330.1,2781,3746950.5,114
2024-01-29,1355.0,1355.0,1341.1,4204,5666371.6,169
2024-01-28,1349.8,1360.0,1341.5,2122,2857242.0,111
2024-01-25,1350.0,1360.0,1336.0,4338,5851825.8,146
2024-01-24,1350.0,1390.0,1341.0,2010,2724007.0,79
2024-01-23,1348.0,1350.0,1340.0,2221,2986556.3,102
2024-01-22,1341.0,1371.0,1340.1,3302,4452729.0,165
2024-01-21,1365.0,1395.0,1361.0,3900,5374162.9,166
2024-01-18,1385.0,1400.0,1361.0,3971,5496822.6,163
2024-01-17,1407.0,1460.0,1407.0,5849,8428584.5,188
2024-01-16,1426.0,1439.0,1387.0,6314,8958953.8,207
2024-01-14,1379.0,1387.0,1360.0,3746,5164233.6,129
2024-01-11,1350.0,1370.0,1347.9,2116,2866687.7,96
2024-01-10,1345.1,1365.0,1340.0,3504,4735166.9,131
2024-01-09,1326.6,1365.0,1323.2,4201,5621598.1,154
2024-01-08,1330.0,1346.0,1321.0,3500,4647907.7,138
2024-01-07,1334.0,1365.0,1328.0,4477,6025161.7,163
2024-01-04,1365.0,1393.0,1365.0,4129,5669664.5,173
2024-01-03,1369.0,1395.0,1335.1,7189,9776878.0,244
2024-01-02,1507.1,1520.0,1490.0,13973,2.10096669E7,456
2024-01-01,1477.0,1500.0,1460.0,5147,7638189.2,210
2023-12-28,1450.0,1465.0,1437.0,3770,5441414.1,144
2023-12-27,1460.0,1500.0,1460.0,4556,6722097.7,203
2023-12-24,1483.0,1530.0,1480.0,7107,1.06562656E7,251
2023-12-21,1524.0,1565.0,1520.0,6668,1.02362845E7,266
2023-12-20,1560.0,1590.0,1545.0,7032,1.10110366E7,236
2023-12-19,1559.9,1606.0,1515.0,11465,1.78251971E7,410
2023-12-18,1496.0,1496.0,1387.2,13303,1.96385464E7,394
2023-12-17,1360.0,1360.0,1315.0,3861,5189577.1,138
2023-12-14,1334.0,1343.5,1330.0,1577,2106333.4,74
2023-12-13,1345.0,1380.0,1340.0,3464,4709754.7,136
2023-12-12,1344.0,1355.0,1330.0,2408,3239279.3,102
2023-12-11,1335.0,1360.0,1300.0,7751,1.03085771E7,272
2023-12-10,1282.2,1282.2,1257.1,20,25393.0,2
2023-12-07,1232.5,1244.0,1215.0,2471,3033022.2,96
2023-12-06,1223.0,1234.0,1218.1,2226,2720465.4,83
2023-12-05,1234.0,1250.0,1226.5,1264,1560695.9,66
2023-12-04,1246.0,1250.0,1235.0,1718,2134189.6,60
2023-12-03,1246.5,1270.0,1244.0,1914,2394085.4,105
2023-11-30,1253.0,1288.0,1251.2,1735,2185756.3,62
2023-11-29,1272.0,1274.0,1265.0,900,1143446.1,49
2023-11-28,1271.0,1288.0,1270.0,1204,1532404.5,61
2023-11-27,1272.0,1295.0,1270.0,1238,1582056.7,68
2023-11-26,1271.0,1278.0,1260.0,3066,3892623.6,120
2023-11-23,1272.0,1275.0,1253.0,1278,1613730.1,62
2023-11-22,1269.0,1275.0,1230.0,2417,3045405.8,79
2023-11-21,1250.1,1325.0,1250.1,3258,4141664.7,155
2023-11-20,1300.0,1362.0,1295.0,2109,2748942.7,105
2023-11-09,1336.0,1349.0,1327.0,816,1091514.0,40
2023-11-08,1335.0,1349.0,1322.1,916,1218065.6,35
2023-11-07,1325.0,1335.0,1320.0,1299,1723558.5,59
2023-11-06,1319.0,1335.0,1303.0,1593,2100466.3,86
2023-11-05,1315.0,1330.0,1305.0,1753,2312321.6,84
2023-11-02,1330.0,1346.0,1320.0,1860,2470885.1,82
2023-11-01,1327.1,1345.0,1327.1,2026,2703508.4,79
2023-10-31,1342.0,1356.6,1330.0,702,945408.0,46
