BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,367.2,377.0,340.1,105746,3.73185328E7,581
2024-08-22,365.1,377.0,360.0,69380,2.55096966E7,450
2024-08-21,363.5,379.0,356.0,77500,2.82782784E7,495
2024-08-18,368.8,385.1,355.4,169338,6.24479049E7,761
2024-08-15,381.0,405.7,375.1,169852,6.5808657E7,856
2024-08-14,389.0,406.0,368.1,105002,3.99598004E7,759
2024-08-13,389.0,405.0,375.8,199945,7.77873616E7,1207
2024-08-12,375.1,375.1,334.2,182934,6.59375196E7,976
2024-08-11,341.0,346.0,323.9,117354,3.98671511E7,641
2024-08-08,330.5,340.0,330.0,68392,2.29375387E7,412
2024-08-07,335.0,337.6,321.0,68698,2.27429813E7,478
2024-08-06,324.0,354.0,322.0,119527,4.05530567E7,769
2024-08-05,342.8,346.7,330.0,131339,4.47425804E7,671
2024-08-01,336.0,345.0,332.0,169458,5.74776797E7,792
2024-07-31,330.2,341.0,322.0,111163,3.7189393E7,611
2024-07-30,322.0,329.3,318.0,87279,2.82495003E7,450
2024-07-29,318.5,331.8,318.5,59955,1.94629911E7,420
2024-07-28,325.3,347.0,323.0,60601,1.98793821E7,323
2024-07-25,328.0,337.0,326.1,67503,2.22873013E7,376
2024-07-24,331.0,344.9,330.0,102557,3.46511256E7,536
2024-07-23,338.0,343.8,322.1,122202,4.10666023E7,677
2024-07-22,324.0,332.0,315.0,88734,2.84984651E7,541
2024-07-21,326.0,331.0,321.0,70323,2.29735753E7,425
2024-07-18,326.0,333.0,317.0,100223,3.28191023E7,589
2024-07-17,327.2,336.0,315.0,99583,3.24466718E7,510
2024-07-16,319.0,320.0,298.0,121330,3.79280621E7,586
2024-07-15,298.1,310.5,298.0,39150,1.18352167E7,230
2024-07-14,304.5,316.0,300.0,39966,1.21747677E7,282
2024-07-11,299.4,299.7,290.0,51749,1.52413009E7,258
2024-07-10,291.6,295.0,290.0,32136,9366899.8,191
2024-07-09,293.4,294.0,290.0,21723,6329006.8,135
2024-07-08,293.5,300.0,292.2,15752,4630955.0,133
2024-07-07,297.8,301.0,293.0,29823,8851517.1,220
2024-07-04,294.0,295.0,287.0,37672,1.09589935E7,213
2024-07-03,288.0,292.0,284.6,32449,9309149.9,201
2024-07-02,292.0,312.2,289.5,24506,7250990.0,182
2024-07-01,283.9,287.9,281.0,17558,4988537.6,119
2024-06-30,284.9,291.0,281.0,36939,1.05064601E7,201
2024-06-27,286.1,294.0,285.1,39411,1.13531079E7,192
2024-06-26,290.1,298.0,290.1,24945,7305466.1,169
2024-06-25,295.4,303.0,295.4,20471,6118189.1,125
2024-06-24,298.0,300.0,293.0,30230,8966643.2,153
2024-06-23,294.5,300.5,294.1,30898,9139019.8,184
2024-06-20,294.6,304.0,294.5,28870,8586956.1,208
2024-06-19,300.1,306.0,297.0,7365,2214509.0,80
2024-06-18,300.0,305.0,296.2,32985,9900800.7,183
2024-06-16,300.0,309.0,300.0,31803,9688298.4,183
2024-06-13,303.2,309.5,301.1,35726,1.0875933E7,207
2024-06-12,309.8,321.0,305.3,38559,1.19413137E7,215
2024-06-11,317.0,317.6,308.0,53489,1.67728921E7,295
2024-06-10,305.0,308.0,288.1,58093,1.75085872E7,334
2024-06-09,289.0,297.0,285.0,56354,1.6247271E7,302
2024-06-06,293.0,305.5,292.7,42726,1.26590669E7,253
2024-06-05,300.0,307.6,299.0,28900,8691084.3,165
2024-06-04,301.6,309.0,301.5,22536,6877729.7,154
2024-06-03,305.0,311.0,304.0,29636,9063483.3,179
2024-06-02,306.0,312.0,304.3,36229,1.11600701E7,184
2024-05-30,307.7,308.8,299.7,32654,9944871.5,179
2024-05-29,303.0,317.7,302.1,26501,8132494.0,173
2024-05-27,306.0,307.0,300.5,35468,1.07974268E7,227
2024-05-26,301.4,311.0,301.4,35652,1.08757424E7,210
2024-05-22,305.2,314.5,304.0,41704,1.28321726E7,229
2024-05-21,312.0,314.0,301.9,45147,1.402793E7,247
2024-05-20,307.0,316.0,302.0,56176,1.73431147E7,306
2024-05-19,311.0,313.6,308.0,42409,1.32233155E7,218
2024-05-16,308.0,317.0,305.0,34065,1.05272334E7,237
2024-05-15,310.1,326.0,310.0,59539,1.89008014E7,277
2024-05-14,320.0,321.0,308.0,46638,1.48046833E7,250
2024-05-13,310.0,317.0,309.0,31210,9710147.1,192
2024-05-12,312.0,320.0,311.2,37772,1.18791309E7,236
