BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,417.9,445.0,416.0,707395,3.034472411E8,3514
2024-08-22,418.0,418.0,387.5,907697,3.744319769E8,4253
2024-08-21,380.0,390.0,379.5,172063,6.59540638E7,851
2024-08-18,385.3,403.6,381.0,265486,1.036721589E8,1174
2024-08-15,400.2,409.0,394.1,337636,1.364398573E8,1605
2024-08-14,394.0,397.0,378.0,204280,7.91090508E7,957
2024-08-13,381.0,397.0,378.0,206128,7.95074963E7,1041
2024-08-12,386.0,392.7,380.9,304897,1.179173013E8,1373
2024-08-11,374.0,374.3,360.0,214643,7.93780916E7,1054
2024-08-08,360.0,373.8,358.0,155424,5.64878572E7,766
2024-08-07,366.5,369.0,345.2,152510,5.48052591E7,898
2024-08-06,352.0,380.0,350.0,280530,1.024041383E8,1484
2024-08-05,379.1,390.0,372.0,243091,9.24466614E7,1118
2024-08-01,389.0,403.8,385.0,285780,1.1290898E8,1304
2024-07-31,393.0,403.9,373.0,382117,1.484672032E8,1624
2024-07-30,374.9,380.0,350.1,257019,9.36376615E7,1095
2024-07-29,364.0,385.4,364.0,208704,7.74623856E7,1097
2024-07-28,378.0,378.4,353.0,315999,1.154497267E8,1404
2024-07-25,349.0,351.9,340.2,161475,5.6046727E7,726
2024-07-24,345.0,365.0,340.0,270211,9.5163326E7,1146
2024-07-23,355.0,355.9,337.5,205026,7.16953044E7,877
2024-07-22,343.9,349.0,334.0,172320,5.84879971E7,812
2024-07-21,342.7,346.9,335.0,235280,8.05870239E7,890
2024-07-18,339.0,352.5,335.1,269946,9.34271321E7,1257
2024-07-17,340.9,341.5,324.0,228398,7.65956345E7,1007
2024-07-16,327.0,327.9,309.0,212172,6.76577207E7,746
2024-07-15,314.0,327.9,312.7,101825,3.24919946E7,484
2024-07-14,321.5,332.0,320.0,89671,2.89172107E7,404
2024-07-11,317.5,322.2,316.3,71603,2.27420997E7,373
2024-07-10,317.0,323.0,315.0,94930,3.02039872E7,449
2024-07-09,320.0,324.0,310.0,211039,6.72524116E7,932
2024-07-08,309.8,316.0,307.0,69255,2.14617493E7,334
2024-07-07,314.0,318.8,311.5,171832,5.41334463E7,744
2024-07-04,312.0,317.0,300.0,392122,1.222707861E8,1680
2024-07-03,299.9,300.0,284.6,101050,2.9784415E7,435
2024-07-02,290.0,302.4,287.0,62522,1.82034285E7,241
2024-07-01,285.0,285.9,280.0,18962,5380587.0,102
2024-06-30,282.5,284.0,279.1,29237,8205601.7,164
2024-06-27,284.0,289.7,281.0,23428,6607317.32,136
2024-06-26,284.2,289.8,284.1,17090,4891590.3,99
2024-06-25,289.0,292.7,287.0,39151,1.13462436E7,200
2024-06-24,287.0,288.0,283.0,37293,1.06547033E7,185
2024-06-23,284.7,290.1,283.1,25048,7119163.4,144
2024-06-20,286.0,290.0,284.0,40739,1.16099113E7,167
2024-06-19,286.0,290.0,285.0,25749,7374600.4,137
2024-06-18,286.6,294.5,286.4,26286,7569844.1,125
2024-06-16,288.8,297.4,288.6,39844,1.16462287E7,176
2024-06-13,293.1,302.9,285.1,121550,3.58465249E7,405
2024-06-12,290.0,293.6,287.5,33673,9766473.1,182
2024-06-11,289.5,290.6,285.3,33373,9643015.2,200
2024-06-10,285.8,288.8,283.3,25552,7279560.5,165
2024-06-09,285.0,291.0,284.0,22818,6507238.1,141
2024-06-06,286.0,288.9,285.5,22866,6550352.2,146
2024-06-05,286.5,288.1,286.0,17580,5047893.5,113
2024-06-04,287.6,293.0,286.0,37457,1.07974969E7,195
2024-06-03,288.1,297.0,288.0,31495,9142005.4,148
2024-06-02,292.0,293.2,289.0,31545,9164395.7,162
2024-05-30,291.0,292.0,288.8,42063,1.22080595E7,196
2024-05-29,294.0,299.4,292.0,32983,9739742.7,150
2024-05-27,295.8,298.2,294.0,22155,6558183.9,157
2024-05-26,293.8,300.9,293.2,34812,1.0310405E7,197
2024-05-22,298.0,302.5,296.5,54334,1.62563849E7,256
2024-05-21,297.2,303.0,296.1,36633,1.09671142E7,199
2024-05-20,297.9,301.3,296.4,57990,1.73463432E7,257
2024-05-19,296.9,301.8,292.6,64399,1.92171366E7,200
2024-05-16,295.9,300.0,292.3,31917,9417088.3,173
2024-05-15,298.0,306.0,295.6,70669,2.11766038E7,290
2024-05-14,299.0,299.0,295.0,53712,1.59574761E7,213
