BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1140.1,1186.2,1085.0,24479,2.75717215E7,372
2024-08-22,1100.0,1135.0,1091.1,10770,1.19347809E7,182
2024-08-21,1107.0,1161.0,1080.0,5719,6326833.8,139
2024-08-18,1096.0,1203.4,1080.1,12907,1.43699257E7,207
2024-08-15,1094.0,1111.0,1082.0,11386,1.24553709E7,192
2024-08-14,1099.0,1111.9,1089.8,6435,7083440.8,131
2024-08-13,1111.9,1144.0,1102.5,10986,1.23006788E7,185
2024-08-12,1125.0,1159.0,1090.0,17486,1.97487937E7,272
2024-08-11,1137.0,1149.9,1106.7,20271,2.30496554E7,284
2024-08-08,1085.0,1139.0,1078.0,9961,1.08617637E7,198
2024-08-07,1124.0,1133.0,1080.0,14088,1.54711463E7,242
2024-08-06,1080.1,1163.3,1080.1,14203,1.59185484E7,243
2024-08-05,1125.2,1167.2,1078.0,11317,1.26935079E7,230
2024-08-01,1100.0,1160.0,1090.0,20165,2.27172163E7,242
2024-07-31,1145.0,1201.6,1134.0,11873,1.36711328E7,169
2024-07-30,1137.9,1141.0,1110.0,8510,9569058.4,140
2024-07-29,1122.4,1163.8,1122.0,22987,2.61205446E7,238
2024-07-28,1163.0,1220.0,1120.1,13442,1.5649929E7,197
2024-07-25,1189.0,1203.0,1155.0,23713,2.79932359E7,280
2024-07-24,1144.5,1197.9,1136.8,22346,2.58163457E7,245
2024-07-23,1177.9,1244.0,1152.1,32090,3.75395119E7,239
2024-07-22,1174.1,1251.0,1158.0,19404,2.27893224E7,236
2024-07-21,1180.0,1215.0,1170.0,23537,2.78795819E7,352
2024-07-18,1205.0,1265.0,1182.0,26251,3.2281896E7,373
2024-07-17,1227.9,1280.0,1180.0,23967,2.8799599E7,418
2024-07-16,1231.1,1239.3,1160.0,18881,2.2834984E7,295
2024-07-15,1199.9,1285.0,1177.0,22730,2.71477136E7,253
2024-07-14,1238.5,1265.0,1154.0,19524,2.37300202E7,338
2024-07-11,1220.0,1272.0,1132.6,39289,4.70672718E7,488
2024-07-10,1205.0,1251.0,1134.4,35531,4.25799217E7,485
2024-07-09,1181.1,1192.0,1128.0,31576,3.69190584E7,415
2024-07-08,1151.0,1173.0,1087.9,49720,5.61389194E7,379
2024-07-07,1110.1,1125.0,1070.1,25237,2.80089796E7,308
2024-07-04,1096.0,1100.0,1048.6,12697,1.37262093E7,175
