BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,6429.2,6600.0,6429.2,7345,4.74603265E7,238
2024-08-22,6540.0,6700.0,6526.0,7636,5.02733093E7,229
2024-08-21,6650.0,6888.0,6600.0,5271,3.52878816E7,188
2024-08-18,6800.0,7000.0,6700.0,14083,9.69273897E7,358
2024-08-15,6899.0,6945.0,6751.0,11917,8.14528338E7,334
2024-08-14,6774.0,6874.8,6667.0,8930,6.00550401E7,220
2024-08-13,6740.0,7000.0,6634.1,6979,4.71812446E7,271
2024-08-12,6710.0,6715.0,6410.0,14664,9.73912848E7,528
2024-08-11,6399.0,6399.0,6226.0,13739,8.71935217E7,398
2024-08-08,6228.0,6349.0,6160.0,7357,4.59361099E7,221
2024-08-07,6260.0,6270.0,5900.0,7959,4.8734098E7,288
2024-08-06,5901.0,6410.7,5900.0,10833,6.58881631E7,361
2024-08-05,6285.0,6293.4,5791.8,14335,8.68195919E7,396
2024-08-01,5910.0,6250.0,5890.0,11125,6.66174643E7,386
2024-07-31,6150.0,6300.0,6010.0,4957,3.05443226E7,226
2024-07-30,5981.0,6170.0,5900.0,8004,4.8063273E7,274
2024-07-29,6030.0,6429.0,6022.1,5965,3.6709991E7,216
2024-07-28,6310.0,6630.0,6146.0,8503,5.32706414E7,261
2024-07-25,6148.0,6220.9,6011.0,9001,5.52434977E7,262
2024-07-24,6099.0,6477.0,6007.0,15088,9.34782984E7,426
2024-07-23,6300.0,6324.0,5962.0,9336,5.81753743E7,334
2024-07-22,5981.0,6083.0,5637.0,10384,6.12838692E7,286
2024-07-21,5848.0,6000.0,5371.0,20249,1.134170524E8,358
2024-07-18,5480.0,5600.0,5345.0,8800,4.81437852E7,292
2024-07-17,5446.0,5446.0,5100.0,12787,6.80168396E7,430
2024-07-16,5035.0,5040.0,4836.0,8697,4.30865865E7,148
2024-07-15,4905.0,5028.9,4893.0,5747,2.83988895E7,140
2024-07-14,4940.0,5120.0,4850.0,4226,2.08505866E7,146
2024-07-11,4825.0,4900.0,4788.0,23639,1.146327043E8,218
2024-07-10,4849.0,4895.0,4803.0,1882,9139932.3,63
2024-07-09,4845.0,4950.0,4800.1,7309,3.560412E7,112
2024-07-08,4870.0,4998.0,4796.0,8061,3.92142861E7,147
2024-07-07,4900.0,5042.0,4898.0,4497,2.21835549E7,140
2024-07-04,5026.0,5196.0,4980.0,4870,2.45848525E7,168
2024-07-03,4997.0,5170.0,4750.0,23033,1.146176473E8,754
2024-07-02,4700.0,4800.0,4530.0,3838,1.78211344E7,114
2024-07-01,4533.0,4590.0,4454.0,1297,5854474.5,38
2024-06-30,4525.0,4540.0,4515.0,1142,5172726.4,48
2024-06-27,4540.0,4609.0,4540.0,1210,5528608.0,56
2024-06-26,4608.9,4660.0,4555.0,849,3918489.0,24
2024-06-25,4590.0,4694.0,4570.0,2833,1.31152335E7,59
2024-06-24,4615.0,4645.0,4561.1,1261,5789807.7,41
2024-06-23,4639.0,4655.0,4570.0,1951,9017516.5,59
2024-06-20,4600.0,4720.0,4557.0,7823,3.62659891E7,101
2024-06-19,4630.0,4750.0,4630.0,2692,1.255735E7,63
2024-06-18,4700.0,4780.0,4695.0,3177,1.49805474E7,101
2024-06-16,4730.0,4800.0,4700.3,1368,6448825.5,58
2024-06-13,4725.0,4805.0,4708.3,4135,1.96579099E7,99
2024-06-12,4794.0,4815.0,4790.1,3616,1.73461411E7,99
2024-06-11,4810.0,4837.0,4650.0,3147,1.50459594E7,100
2024-06-10,4730.0,4869.0,4705.0,5469,2.60630714E7,130
2024-06-09,4834.0,5015.0,4821.0,3657,1.78726258E7,128
2024-06-06,4919.0,4926.0,4770.0,7178,3.46424577E7,168
2024-06-05,4818.0,4900.0,4740.0,6623,3.17676099E7,185
2024-06-04,4864.0,4874.0,4661.1,5839,2.80343505E7,170
2024-06-03,4720.0,4800.0,4630.0,5352,2.50558041E7,151
2024-06-02,4719.0,4729.0,4411.0,6678,3.09280754E7,201
2024-05-30,4412.0,4484.0,4410.0,1889,8363209.4,58
2024-05-29,4415.0,4488.0,4360.0,4689,2.07031946E7,93
2024-05-27,4395.0,4474.0,4385.0,793,3493056.0,48
2024-05-26,4390.0,4489.0,4385.0,949,4196060.2,38
2024-05-22,4450.0,4500.0,4380.0,817,3642709.2,39
2024-05-21,4444.0,4555.0,4411.0,2076,9257663.4,49
2024-05-20,4475.0,4485.0,4361.0,4329,1.91454216E7,129
2024-05-19,4360.0,4430.0,4350.0,890,3884104.0,39
2024-05-16,4345.0,4379.0,4321.0,402,1748469.0,24
2024-05-15,4380.0,4438.9,4349.0,2841,1.24301226E7,72
2024-05-14,4320.0,4350.0,4290.0,701,3030545.0,34
2024-05-13,4320.0,4340.0,4301.0,445,1921252.0,11
2024-05-12,4340.0,4355.0,4290.0,809,3490811.0,45
2024-05-09,4275.0,4289.0,4245.0,1319,5612126.0,55
2024-05-08,4273.0,4273.0,4210.0,578,2445435.3,33
2024-05-07,4270.0,4300.0,4270.0,676,2891260.5,32
2024-05-06,4325.0,4360.0,4274.2,1453,6242005.0,66
2024-05-05,4360.0,4398.0,4287.6,1132,4910181.3,48
2024-05-02,4390.0,4400.0,4350.0,2328,1.01719077E7,68
2024-04-30,4385.2,4449.0,4330.1,1814,7958927.0,55
2024-04-29,4350.0,4400.0,4326.0,1369,5987820.0,42
2024-04-28,4375.0,4399.0,4370.0,1390,6081877.0,30
2024-04-25,4388.0,4448.9,4355.0,1098,4820842.2,44
2024-04-24,4370.0,4549.0,4369.2,863,3789650.0,44
2024-04-22,4375.1,4443.0,4375.1,781,3431652.0,35
2024-04-21,4401.0,4469.0,4390.0,743,3275545.2,25
2024-04-18,4401.0,4445.0,4400.0,204,898620.0,10
2024-04-16,4460.0,4504.0,4435.0,943,4214340.0,31
2024-04-15,4500.0,4509.9,4445.0,1741,7765935.6,55
2024-04-14,4500.0,4510.0,4425.1,1636,7336118.7,62
2024-04-10,4500.0,4500.0,4375.0,1656,7328993.9,66
2024-04-09,4401.2,4439.0,4350.0,2828,1.25256182E7,39
2024-04-07,4391.1,4445.0,4350.2,1161,5096536.7,45
2024-04-04,4387.0,4427.5,4385.0,254,1118079.0,15
2024-04-03,4385.0,4410.0,4380.0,530,2328857.9,24
2024-04-02,4410.0,4425.0,4380.0,347,1527725.0,22
2024-04-01,4410.0,4455.0,4395.0,574,2540791.0,35
2024-03-31,4400.0,4460.0,4400.0,2085,9195609.3,71
2024-03-28,4480.0,4575.0,4455.0,1408,6345491.0,54
2024-03-27,4486.0,4565.0,4485.0,1051,4728152.6,60
2024-03-26,4575.0,4668.0,4556.0,1839,8438780.0,63
2024-03-25,4580.0,4795.0,4540.1,4043,1.86719561E7,240
2024-03-21,5247.0,5290.0,5171.0,5334,2.7888049E7,221
2024-03-20,5205.0,5295.0,5200.0,2266,1.18106442E7,80
2024-03-19,5200.0,5315.0,5200.0,2437,1.28164413E7,111
2024-03-18,5270.0,5296.0,5240.0,4114,2.16091762E7,60
2024-03-17,5239.0,5299.9,5222.0,1683,8838462.2,72
2024-03-14,5265.0,5405.0,5240.0,4655,2.4687166E7,167
2024-03-13,5299.9,5310.0,5241.0,4237,2.23027777E7,114
2024-03-12,5286.0,5295.0,5200.0,1850,9714720.0,74
2024-03-10,5200.0,5300.0,5093.0,1175,6114355.0,56
2024-03-07,5150.0,5275.0,5101.0,1628,8366747.4,73
2024-03-06,5172.0,5250.0,5025.0,1577,8157597.6,51
2024-03-05,5110.0,5355.0,5105.0,3624,1.89163768E7,106
2024-03-04,5200.0,5207.3,5105.2,60,311125.0,4
2024-03-03,5005.1,5078.0,4993.0,2049,1.02930698E7,88
2024-02-29,5125.0,5390.0,5125.0,3973,2.0976159E7,157
2024-02-28,5300.0,5349.9,4973.0,6798,3.55348653E7,223
2024-02-27,5050.0,5050.0,4950.0,1795,8962986.6,57
2024-02-26,5000.0,5013.0,4880.0,2707,1.34262502E7,76
2024-02-25,4920.0,5040.0,4920.0,2399,1.19123163E7,74
2024-02-22,4980.0,5128.0,4978.5,2015,1.0136159E7,71
2024-02-21,5030.0,5149.0,5000.0,732,3672177.3,19
2024-02-20,5058.0,5058.0,4985.0,3546,1.77950137E7,105
2024-02-18,5071.0,5145.0,5070.0,879,4482026.0,48
2024-02-15,5145.0,5200.0,5126.0,1794,9221855.8,70
2024-02-14,5185.0,5224.0,5155.0,1467,7618102.0,46
2024-02-13,5209.0,5230.0,5190.0,719,3743607.9,32
2024-02-12,5240.0,5309.0,5135.0,438,2285235.1,29
2024-02-11,5212.0,5406.0,5200.0,1337,7022012.0,59
2024-02-08,5300.0,5300.0,5220.0,2703,1.42082495E7,57
2024-02-07,5241.5,5331.0,5211.1,1683,8904719.5,71
2024-02-06,5250.0,5335.0,5221.0,308,1620565.0,19
2024-02-05,5285.0,5344.0,5230.0,1070,5631798.5,35
2024-02-04,5240.0,5350.0,5182.1,2006,1.04701562E7,67
2024-02-01,5230.0,5250.0,5190.0,773,4030598.0,50
2024-01-31,5231.0,5441.7,5228.0,787,4160488.4,37
2024-01-30,5335.0,5378.0,5270.0,801,4258210.0,39
2024-01-29,5280.0,5300.0,5221.1,1221,6421028.0,34
2024-01-28,5254.0,5265.0,5211.0,540,2827164.5,32
2024-01-25,5246.0,5280.5,5200.1,1089,5715585.0,42
2024-01-24,5211.0,5350.0,5211.0,1215,6408721.0,36
2024-01-23,5280.0,5300.0,5214.0,732,3829247.0,36
2024-01-22,5320.0,5359.0,5250.0,1495,7885586.0,54
2024-01-21,5300.0,5405.0,5300.0,2333,1.24289328E7,80
2024-01-18,5349.0,5418.0,5300.0,1571,8413004.0,72
2024-01-17,5400.0,5555.0,5365.0,4191,2.28839715E7,132
2024-01-16,5498.0,5600.0,5380.0,4076,2.23048382E7,106
2024-01-14,5365.0,5449.0,5363.0,2632,1.4219454E7,88
2024-01-11,5431.0,5600.0,5402.0,3804,2.0833279E7,156
2024-01-10,5400.0,5450.0,5333.0,1232,6643165.5,44
2024-01-09,5400.0,5473.0,5342.0,5828,3.14690289E7,109
2024-01-08,5342.0,5407.0,5310.0,1905,1.0213046E7,56
2024-01-07,5301.0,5515.0,5300.0,2574,1.3771422E7,71
2024-01-04,5419.0,5419.0,5286.0,7115,3.78384746E7,93
2024-01-03,5290.0,5348.0,5230.1,5059,2.66022037E7,74
2024-01-02,5280.0,5398.0,5228.0,4222,2.2349081E7,102
2024-01-01,5332.0,5450.0,5310.0,2647,1.41850795E7,76
2023-12-28,5302.0,5400.0,5300.0,3755,2.0071354E7,109
2023-12-27,5400.0,5620.0,5350.0,5141,2.79583333E7,142
2023-12-24,5510.0,5814.0,5506.0,7221,4.05544104E7,239
2023-12-21,5700.0,5900.0,5635.0,6921,3.93545237E7,179
2023-12-20,5679.0,5868.0,5412.6,9339,5.2565786E7,267
2023-12-19,5335.0,5360.0,5272.0,3749,1.99004732E7,108
