BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,287.0,303.9,282.0,490092,1.411249898E8,1631
2024-08-22,295.0,303.9,285.0,624921,1.858054987E8,1852
2024-08-21,288.2,306.0,287.2,510073,1.495585007E8,1821
2024-08-18,296.1,326.4,293.0,956057,2.904042065E8,2889
2024-08-15,314.0,334.4,312.9,1151258,3.771809042E8,2949
2024-08-14,310.0,320.0,281.0,788485,2.324361824E8,2201
2024-08-13,291.1,302.9,279.3,646382,1.874152233E8,2098
2024-08-12,285.0,295.0,273.9,757160,2.171628138E8,2493
2024-08-11,268.6,268.6,249.0,855766,2.240010738E8,2359
2024-08-08,244.2,253.3,239.1,665554,1.646727359E8,1833
2024-08-07,243.9,246.0,226.4,562403,1.337687824E8,1775
2024-08-06,230.9,250.0,223.0,729549,1.729428097E8,2066
2024-08-05,243.0,250.0,236.0,583939,1.416485164E8,1817
2024-08-01,241.0,256.0,235.0,816902,1.998413521E8,2168
2024-07-31,235.5,237.6,218.9,998743,2.316297612E8,2930
2024-07-30,216.0,217.0,209.2,430164,9.19397095E7,1294
2024-07-29,212.0,220.2,211.0,509808,1.098004763E8,1506
2024-07-28,211.0,219.0,208.1,404653,8.59088775E7,1134
2024-07-25,208.1,214.0,206.7,380882,7.98060483E7,1172
2024-07-24,210.9,219.0,208.1,566805,1.20865191E8,1685
2024-07-23,215.0,219.3,208.1,523872,1.132184611E8,1542
2024-07-22,211.0,217.2,196.5,537683,1.09841715E8,1666
2024-07-21,201.0,206.0,197.0,580850,1.172962527E8,1840
2024-07-18,205.0,215.8,203.0,643069,1.343723785E8,2268
2024-07-17,207.4,207.4,192.3,1163724,2.355816377E8,3506
2024-07-16,188.6,188.6,172.0,823631,1.50643023E8,1968
2024-07-15,171.5,179.5,170.0,368126,6.40450733E7,1154
2024-07-14,172.1,174.3,164.0,397557,6.71519898E7,1142
2024-07-11,164.5,164.9,161.0,182623,2.98145181E7,561
2024-07-10,161.8,162.0,157.6,136857,2.1946338E7,443
2024-07-09,158.7,158.7,154.5,128057,1.99933431E7,314
2024-07-08,155.6,160.6,155.0,69157,1.078888E7,263
2024-07-07,157.5,158.8,155.6,86399,1.359318E7,349
2024-07-04,156.5,159.1,154.5,108456,1.69537457E7,352
2024-07-03,156.0,158.1,154.2,61243,9525579.2,203
2024-07-02,157.0,165.3,156.0,93175,1.47467036E7,326
2024-07-01,153.0,155.0,151.7,62451,9558312.2,260
2024-06-30,153.4,158.8,151.5,85826,1.31736807E7,301
2024-06-27,154.8,158.5,154.1,68776,1.0723593E7,292
2024-06-26,156.5,160.0,156.2,44094,6936541.3,196
2024-06-25,157.5,163.7,157.1,105993,1.68899075E7,378
2024-06-24,157.5,159.0,155.3,84538,1.32380848E7,311
2024-06-23,157.0,160.4,157.0,84287,1.32823644E7,352
2024-06-20,159.0,162.0,158.1,144529,2.31480636E7,359
2024-06-19,160.0,163.0,159.3,70995,1.14028936E7,288
2024-06-18,160.9,164.0,159.1,189888,3.06189229E7,469
2024-06-16,161.9,165.4,161.0,215226,3.51691769E7,552
2024-06-13,162.2,166.9,162.1,214102,3.51017852E7,561
2024-06-12,164.5,168.9,164.0,320545,5.32268676E7,831
2024-06-11,164.0,165.1,155.5,481657,7.77866557E7,1097
2024-06-10,154.8,158.1,152.0,299391,4.64764723E7,744
2024-06-09,154.5,158.0,152.0,146164,2.24321543E7,479
2024-06-06,155.6,158.6,154.5,64586,1.0075304E7,280
2024-06-05,155.5,160.0,155.2,66562,1.03967448E7,268
2024-06-04,158.5,161.9,157.2,74204,1.17818536E7,282
2024-06-03,158.8,162.0,157.0,83265,1.3239507E7,330
2024-06-02,158.7,161.0,157.0,109835,1.74461425E7,440
2024-05-30,157.0,164.2,156.9,173129,2.75236804E7,584
2024-05-29,161.0,170.0,159.0,236609,3.84601321E7,604
2024-05-27,163.9,168.7,163.0,132698,2.19677979E7,515
2024-05-26,164.5,171.0,164.0,268135,4.46800447E7,836
2024-05-22,170.5,177.7,168.5,473896,8.19498586E7,1603
2024-05-21,168.0,168.0,154.0,620334,1.010178859E8,1597
2024-05-20,156.0,160.0,151.9,99015,1.55061949E7,394
2024-05-19,155.0,158.6,152.0,130936,2.03926228E7,447
2024-05-16,153.0,158.6,153.0,48035,7403445.5,268
2024-05-15,155.5,161.0,153.5,222293,3.50348641E7,688
2024-05-14,156.9,160.0,147.6,275169,4.27391653E7,781
2024-05-13,148.0,149.0,145.1,61548,9043878.2,247
2024-05-12,149.0,151.5,143.5,106273,1.5493108E7,416
2024-05-09,149.0,150.0,147.0,53223,7876121.1,242
2024-05-08,147.5,150.0,147.5,96180,1.42707342E7,267
2024-05-07,150.0,150.0,147.0,85163,1.26754899E7,240
2024-05-06,149.0,152.6,146.5,91565,1.361347E7,337
2024-05-05,147.0,155.9,143.1,383662,5.68851286E7,1057
2024-05-02,159.0,164.0,155.0,153967,2.43704518E7,407
2024-04-30,163.0,165.0,158.4,33701,5471064.3,193
2024-04-29,158.2,162.0,158.1,23159,3697351.6,176
2024-04-28,161.6,166.0,159.9,18835,3055006.5,125
2024-04-25,162.9,168.3,159.9,47645,7807321.0,164
2024-04-24,165.0,167.5,164.0,12828,2119235.2,98
2024-04-22,164.7,169.3,164.7,43968,7375245.9,149
2024-04-21,166.0,167.2,162.0,45027,7393058.5,187
2024-04-18,163.0,170.0,161.0,46167,7576969.6,173
2024-04-16,170.0,173.0,165.7,45445,7615493.8,206
2024-04-15,170.0,183.0,165.0,61689,1.06303874E7,279
2024-04-14,180.8,188.1,164.3,114068,1.96827037E7,549
2024-04-10,171.0,186.2,171.0,65484,1.1219998E7,336
2024-04-09,190.0,194.0,188.0,5320,1014432.0,95
2024-04-07,188.0,189.9,185.0,11715,2185560.0,129
2024-04-04,190.2,195.4,190.0,11329,2163311.6,88
2024-04-03,193.6,193.6,190.0,6470,1240212.4,93
2024-04-02,196.0,200.0,193.0,5940,1166397.7,78
2024-04-01,199.0,199.0,193.0,12903,2528950.8,142
2024-03-31,199.0,202.8,193.5,7355,1456038.9,108
2024-03-28,195.0,200.0,195.0,11227,2210879.3,106
2024-03-27,198.0,202.0,196.1,5314,1058256.7,85
2024-03-26,199.9,200.0,193.4,5928,1168224.6,85
2024-03-25,197.0,207.0,197.0,11701,2328532.8,92
2024-03-21,203.1,213.9,202.0,9790,1995680.3,94
2024-03-20,206.0,210.0,204.0,7560,1550656.5,97
2024-03-19,207.0,209.0,196.3,13708,2812555.5,163
2024-03-18,200.0,206.0,199.8,21331,4283128.0,178
2024-03-17,205.0,210.0,203.0,21292,4372424.3,206
2024-03-14,211.0,216.8,210.0,14654,3128666.8,134
2024-03-13,214.0,217.9,212.0,14795,3166848.1,141
2024-03-12,219.9,226.8,212.0,7835,1719145.2,146
2024-03-10,215.0,217.0,213.0,7872,1699921.0,122
2024-03-07,217.0,230.0,214.0,9405,2053099.8,110
2024-03-06,216.0,224.0,210.0,7168,1552790.1,111
2024-03-05,216.9,229.1,215.0,32436,7183600.4,319
2024-03-04,212.1,212.1,212.1,10,2121.0,1
2024-03-03,208.0,214.0,202.1,5556,1139742.7,86
2024-02-29,209.9,218.0,205.0,3905,820847.9,82
2024-02-28,212.7,218.0,208.6,5455,1158855.4,76
2024-02-27,216.0,217.0,212.1,3761,810343.0,69
2024-02-26,216.0,217.0,211.0,9092,1943850.5,111
2024-02-25,211.0,215.2,203.0,16229,3400931.4,173
