BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,9.5,9.6,9.5,66300,630994.0,34
2024-08-22,9.6,9.65,9.4,37755,360698.2,54
2024-08-21,9.75,9.86,9.66,48600,475967.95,61
2024-08-18,10.0,10.04,9.53,376310,3736511.5,129
2024-08-15,9.69,9.69,9.2,167350,1573009.0,91
2024-08-14,9.41,9.45,9.27,195784,1835014.1,62
2024-08-13,9.44,9.58,9.25,76260,713051.8,76
2024-08-12,9.4,9.42,9.02,201010,1875601.3,69
2024-08-11,9.2,9.2,8.85,78500,706409.75,70
2024-08-08,9.16,9.3,8.95,74125,674965.0,41
2024-08-07,9.29,9.29,8.79,35200,321158.0,55
2024-08-06,9.1,9.26,9.07,82685,756822.35,50
2024-08-05,9.41,9.41,9.23,103275,963440.75,81
2024-08-01,9.23,9.4,9.02,153884,1432095.58,52
2024-07-31,9.2,9.2,9.0,52455,480231.45,61
2024-07-30,9.11,9.42,9.07,58075,532281.25,32
2024-07-29,9.24,9.5,9.11,125320,1164017.4,63
2024-07-28,9.1,9.32,8.8,21150,192000.0,28
2024-07-25,8.8,9.89,8.74,14750,132486.0,29
2024-07-24,9.09,9.28,8.77,28200,253802.0,20
2024-07-23,9.1,9.2,8.73,162043,1474214.3,71
2024-07-22,8.9,9.25,8.66,114100,1014127.25,24
2024-07-21,9.08,9.09,8.77,40649,362585.91,36
2024-07-18,8.94,8.94,8.5,56590,489415.7,40
2024-07-17,8.5,8.64,8.45,25470,217689.0,25
2024-07-16,8.32,8.43,8.18,17645,147921.0,21
2024-07-15,8.27,8.59,8.25,6838,56741.26,22
2024-07-14,8.47,8.48,8.03,47449,390674.5,29
2024-07-11,8.16,8.35,8.0,20950,173721.5,18
2024-07-10,8.16,8.16,7.95,10650,85726.0,11
2024-07-09,8.1,8.16,8.0,14450,117689.0,11
2024-07-08,8.0,8.16,7.87,11859,94827.5,13
2024-07-07,8.03,8.15,8.01,2300,18607.0,8
2024-07-04,8.17,8.35,8.17,5950,48777.75,11
2024-07-03,8.35,8.42,8.1,2525,20517.5,4
2024-07-02,8.26,8.26,7.72,3825,30957.0,9
2024-07-01,7.84,7.85,7.7,1300,10131.0,7
2024-06-30,7.88,8.0,7.88,28605,226308.65,12
2024-06-27,8.0,8.0,7.96,3780,30196.0,5
2024-06-26,7.93,8.09,7.81,8600,68006.0,13
2024-06-25,8.09,8.09,7.94,2050,16456.0,8
2024-06-24,7.91,7.91,7.9,2300,18176.0,5
2024-06-23,7.96,8.25,7.93,30555,244808.65,26
2024-06-20,8.4,8.6,7.79,9500,75371.0,14
2024-06-19,7.93,8.0,7.9,1350,10710.0,5
2024-06-18,8.03,8.16,8.03,5300,42871.0,14
2024-06-16,8.19,8.19,8.02,600,4838.0,4
2024-06-13,8.03,8.17,8.01,1550,12484.5,10
2024-06-12,8.03,8.13,7.98,10100,81783.0,9
2024-06-11,7.98,8.14,7.92,9785,78176.9,15
2024-06-10,7.84,7.93,7.79,2700,21096.0,10
2024-06-09,7.93,8.0,7.82,61900,490142.0,13
2024-06-06,8.07,8.2,8.03,3050,24680.0,10
2024-06-05,8.35,8.52,8.01,14220,120308.4,13
2024-06-04,8.16,8.55,8.09,4100,33807.0,14
2024-06-03,8.39,8.6,8.39,8886,75928.6,8
2024-06-02,8.67,8.67,8.17,10660,89446.5,15
2024-05-30,8.5,8.62,8.14,256139,2196419.89,19
2024-05-29,8.3,8.5,8.27,8331,69982.33,17
2024-05-27,8.5,8.5,8.15,9245,77504.6,11
2024-05-26,8.42,8.45,7.94,267269,2217024.2,61
2024-05-22,7.79,7.85,7.79,950,7433.5,4
2024-05-21,7.85,7.85,7.64,2850,22232.0,6
2024-05-20,7.71,7.71,7.56,8232,62466.56,13
2024-05-19,7.71,7.8,7.65,1818,13978.4,8
2024-05-16,7.8,7.8,7.63,1520,11711.2,7
2024-05-15,7.78,7.9,7.76,8400,65639.6,11
2024-05-14,7.9,7.9,7.7,15450,119941.0,10
2024-05-13,7.75,7.83,7.53,7000,53668.0,11
2024-05-12,7.66,7.75,7.6,23022,176673.5,16
2024-05-09,7.75,7.75,7.63,900,6923.0,3
2024-05-08,7.77,7.9,7.76,4200,32763.0,5
2024-05-07,7.9,7.95,7.8,3400,26816.0,8
2024-05-06,7.89,7.89,7.79,4100,32321.0,4
2024-05-05,7.94,8.2,7.8,281150,2281290.0,23
2024-05-02,7.9,7.9,7.75,510,3969.0,4
2024-04-30,7.9,7.9,7.83,1200,9473.0,3
2024-04-29,7.97,7.97,7.67,43400,344539.0,13
2024-04-28,7.82,7.92,7.67,6900,53858.0,9
2024-04-25,7.82,7.9,7.8,39290,307332.0,9
2024-04-24,7.8,7.93,7.49,83485,647564.65,17
2024-04-22,7.64,7.64,7.52,5470,41539.8,10
2024-04-21,7.67,7.67,7.36,11980,90891.7,10
2024-04-18,7.51,7.67,7.49,38200,292565.0,15
2024-04-16,7.65,7.65,7.34,24000,182071.0,14
2024-04-15,7.48,7.5,7.36,1650,12267.5,6
2024-04-14,7.45,7.45,7.42,2700,20073.0,6
2024-04-10,7.51,7.52,7.46,6900,51797.0,9
2024-04-09,7.53,7.53,7.42,4800,35955.0,10
2024-04-07,7.56,7.65,7.5,2800,21281.0,12
2024-04-04,7.65,7.8,7.65,1800,13920.0,4
2024-04-03,7.8,7.9,7.52,17800,138315.0,12
2024-04-02,7.61,7.61,7.51,8235,61970.35,6
2024-04-01,7.63,7.92,7.63,4400,33930.0,6
2024-03-31,7.77,7.9,7.75,7000,54645.0,8
2024-03-28,7.95,7.95,7.54,12400,96388.0,18
2024-03-27,8.0,8.0,7.75,90800,722141.0,15
2024-03-26,7.9,7.9,7.61,5975,46291.0,8
2024-03-25,7.63,7.74,7.6,18400,141033.0,9
2024-03-21,7.61,7.65,7.61,3300,25145.0,6
2024-03-20,7.61,7.75,7.45,17075,130925.75,15
2024-03-19,7.6,7.62,7.55,6610,50265.0,20
2024-03-18,7.7,7.8,7.5,39650,308363.0,10
2024-03-17,7.65,7.65,7.5,1000,7545.0,6
2024-03-14,7.65,7.65,7.65,1200,9180.0,4
2024-03-13,7.8,8.05,7.8,38533,307288.05,14
